gene_symbol	delta_depsc	pvalue	fdr	druggable_probe	has_approved_drug	open_targets_score	mechanism_hypothesis	mean_depsc_low	mean_depsc_high	t_stat	mwu_pvalue	n_low	n_high	passes_effect_filter
UROD	0.18561	4.9475e-06	0.0016604	unknown	unknown	unknown	(no curated annotation)	-0.58062	-0.76624	4.6122	4.7416e-06	285	285	False
ACTB	-0.18296	4.4982e-06	0.0016002	unknown	unknown	unknown	(no curated annotation)	-0.92302	-0.74007	-4.6328	3.5973e-06	285	285	False
NXT1	0.18142	8.6966e-05	0.0099834	unknown	unknown	unknown	(no curated annotation)	-0.53198	-0.7134	3.9545	0.00025391	285	285	False
VPS25	-0.18023	4.4025e-05	0.0070257	unknown	unknown	unknown	(no curated annotation)	-2.6208	-2.4406	-4.1173	4.6748e-05	285	285	False
MED30	-0.17909	3.3377e-06	0.0013807	unknown	unknown	unknown	(no curated annotation)	-2.0757	-1.8966	-4.6956	1.0728e-05	285	285	False
KIF18A	-0.17792	0.0056311	0.10509	unknown	unknown	unknown	(no curated annotation)	-1.4532	-1.2753	-2.7792	0.0070953	285	285	False
EGFR	-0.17709	2.274e-08	6.7414e-05	unknown	unknown	unknown	(no curated annotation)	-0.33851	-0.16142	-5.6796	1.3663e-07	285	285	False
UBR4	-0.1762	7.0683e-06	0.0021676	unknown	unknown	unknown	(no curated annotation)	-1.2507	-1.0745	-4.5339	5.0017e-05	285	285	False
RPP21	0.17449	0.00045398	0.025336	unknown	unknown	unknown	(no curated annotation)	-1.5875	-1.762	3.5272	0.00078893	285	285	False
HNF1B	-0.17095	6.941e-06	0.0021659	unknown	unknown	unknown	(no curated annotation)	-0.3662	-0.19526	-4.5544	0.00086152	285	285	False
NF2	0.16864	1.9323e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	0.34906	0.18042	4.8124	2.4872e-06	285	285	False
SNRPE	-0.16777	1.0001e-05	0.0026253	unknown	unknown	unknown	(no curated annotation)	-2.0869	-1.9192	-4.462	2.3423e-05	248	266	False
RAB10	-0.16573	2.2362e-06	0.001243	unknown	unknown	unknown	(no curated annotation)	-0.57439	-0.40866	-4.7835	1.4455e-05	285	285	False
SF3A3	-0.1639	2.7388e-05	0.0052382	unknown	unknown	unknown	(no curated annotation)	-2.2818	-2.1179	-4.2296	2.7791e-05	285	285	False
MYC	-0.16217	0.0087417	0.13155	unknown	unknown	unknown	(no curated annotation)	-2.0693	-1.9071	-2.6316	0.051639	285	285	False
LDB1	0.16009	1.4629e-08	6.5052e-05	unknown	unknown	unknown	(no curated annotation)	-0.19877	-0.35886	5.7667	1.0724e-08	285	285	False
HNRNPK	-0.15933	2.5946e-05	0.0051221	unknown	unknown	unknown	(no curated annotation)	-2.5745	-2.4151	-4.242	0.00013933	285	285	False
GUK1	0.15901	0.0007871	0.034568	unknown	unknown	unknown	(no curated annotation)	-1.6572	-1.8162	3.3756	0.0018078	285	285	False
AIRIM	0.15755	0.0049812	0.097954	unknown	unknown	unknown	(no curated annotation)	-1.789	-1.9466	2.8194	0.0077251	285	285	False
GGPS1	0.15179	0.00048629	0.026291	unknown	unknown	unknown	(no curated annotation)	-1.4435	-1.5953	3.5085	0.00030745	285	285	False
ARHGEF7	-0.15153	4.7377e-07	0.00052668	unknown	unknown	unknown	(no curated annotation)	-0.4984	-0.34687	-5.097	9.0092e-07	285	285	False
HNRNPH1	0.15096	0.0011244	0.043757	unknown	unknown	unknown	(no curated annotation)	-1.2666	-1.4175	3.2743	0.0011241	285	285	False
TTF2	0.14946	5.4033e-10	4.8054e-06	unknown	unknown	unknown	(no curated annotation)	-0.58102	-0.73048	6.3166	1.5961e-10	285	285	False
UBA5	-0.14937	2.5526e-06	0.0013019	unknown	unknown	unknown	(no curated annotation)	-0.6875	-0.53813	-4.7527	2.2058e-06	285	285	False
TUBA1C	-0.1487	1.0875e-05	0.0027243	unknown	unknown	unknown	(no curated annotation)	-1.0137	-0.86498	-4.4438	9.4373e-07	246	266	False
RBBP4	0.14834	1.9857e-05	0.004415	unknown	unknown	unknown	(no curated annotation)	-1.2972	-1.4455	4.3029	2.4564e-06	285	285	False
YPEL5	-0.14829	0.00012365	0.011576	unknown	unknown	unknown	(no curated annotation)	-0.92069	-0.7724	-3.8663	0.00030029	285	285	False
PGK1	0.14808	0.00063454	0.030806	unknown	unknown	unknown	(no curated annotation)	-1.0547	-1.2028	3.4356	0.00038607	285	285	False
RPL32	0.14646	7.6819e-05	0.0095459	unknown	unknown	unknown	(no curated annotation)	-2.3593	-2.5057	3.9833	9.7249e-05	285	285	False
MED1	-0.14602	0.00059428	0.029444	unknown	unknown	unknown	(no curated annotation)	-0.80802	-0.662	-3.4537	0.00048594	285	285	False
UFM1	-0.146	2.9036e-05	0.0052699	unknown	unknown	unknown	(no curated annotation)	-0.68448	-0.53848	-4.2152	3.3971e-05	285	285	False
DBR1	0.14564	0.00083894	0.03608	unknown	unknown	unknown	(no curated annotation)	-2.2875	-2.4331	3.3578	0.0023045	285	285	False
RPAIN	-0.1446	0.00019402	0.015338	unknown	unknown	unknown	(no curated annotation)	-1.4095	-1.2649	-3.7513	0.00011118	285	285	False
TPI1	0.14374	0.00031127	0.020506	unknown	unknown	unknown	(no curated annotation)	-0.91827	-1.062	3.6283	0.00036855	285	285	False
CLTC	-0.14324	0.00036577	0.022669	unknown	unknown	unknown	(no curated annotation)	-1.6672	-1.5239	-3.5855	0.001201	285	285	False
PSMD6	-0.14245	6.9503e-05	0.0090237	unknown	unknown	unknown	(no curated annotation)	-1.9259	-1.7834	-4.0077	2.0627e-05	285	285	False
ATP6V1G1	-0.14199	0.00018241	0.014615	unknown	unknown	unknown	(no curated annotation)	-1.2399	-1.0979	-3.7676	9.5228e-05	285	285	False
FAM50A	0.14127	0.0019621	0.058991	unknown	unknown	unknown	(no curated annotation)	-0.62071	-0.76197	3.1104	0.00071012	285	285	False
CARS2	0.14057	2.0599e-07	0.00031124	unknown	unknown	unknown	(no curated annotation)	-0.26026	-0.40083	5.2622	1.4441e-07	285	285	False
PSMA3	-0.13894	0.0012749	0.046562	unknown	unknown	unknown	(no curated annotation)	-2.9178	-2.7789	-3.2378	0.0011693	285	285	False
MARK2	-0.13891	4.3591e-07	0.00052668	unknown	unknown	unknown	(no curated annotation)	-0.38178	-0.24287	-5.1126	6.4984e-08	285	285	False
ATP1B3	0.13871	5.2326e-06	0.0017235	unknown	unknown	unknown	(no curated annotation)	-0.3395	-0.47822	4.6007	8.0113e-08	285	285	False
TWNK	0.13814	1.6074e-05	0.003762	unknown	unknown	unknown	(no curated annotation)	-0.42916	-0.5673	4.3512	4.0989e-05	285	285	False
METTL1	0.13801	9.1523e-05	0.010147	unknown	unknown	unknown	(no curated annotation)	-0.53405	-0.67206	3.9406	5.7463e-05	285	285	False
RPA1	-0.13494	0.00012491	0.011632	unknown	unknown	unknown	(no curated annotation)	-2.3642	-2.2293	-3.8634	3.8793e-05	285	285	False
RPA2	-0.13337	8.6737e-06	0.0023735	unknown	unknown	unknown	(no curated annotation)	-1.7072	-1.5739	-4.4889	2.3542e-06	285	285	False
OXSM	0.1333	1.9319e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	-0.23219	-0.36549	4.8132	4.6165e-06	285	285	False
RTCB	0.13269	1.9475e-05	0.004415	unknown	unknown	unknown	(no curated annotation)	-0.75403	-0.88672	4.3073	3.9296e-06	285	285	False
ILK	-0.1307	2.5822e-06	0.0013019	unknown	unknown	unknown	(no curated annotation)	-0.41109	-0.2804	-4.7498	3.4642e-07	285	285	False
NCAPG	-0.13069	0.00026592	0.018752	unknown	unknown	unknown	(no curated annotation)	-1.9273	-1.7966	-3.6696	0.00014369	285	285	False
GAPDH	0.13035	0.00038393	0.023307	unknown	unknown	unknown	(no curated annotation)	-1.493	-1.6233	3.5723	0.00027106	285	285	False
PABPC1	0.13025	0.00048511	0.026291	unknown	unknown	unknown	(no curated annotation)	-1.065	-1.1953	3.5092	0.0012669	285	285	False
UXS1	-0.12961	8.0321e-05	0.0095971	unknown	unknown	unknown	(no curated annotation)	-0.49056	-0.36094	-3.9756	0.00038981	285	285	False
PTPN23	-0.12912	1.1029e-05	0.0027246	unknown	unknown	unknown	(no curated annotation)	-1.1203	-0.9912	-4.4356	2.6691e-05	285	285	False
LYRM4	0.12887	0.00015392	0.013158	unknown	unknown	unknown	(no curated annotation)	-1.4404	-1.5693	3.8105	6.8398e-05	285	285	False
RAN	-0.12748	0.009378	0.13645	unknown	unknown	unknown	(no curated annotation)	-4.1383	-4.0108	-2.607	0.035528	285	285	False
PPWD1	0.1264	0.0034885	0.0809	unknown	unknown	unknown	(no curated annotation)	-2.1461	-2.2725	2.9335	0.0058618	285	285	False
RAB6A	-0.12629	0.00087387	0.037008	unknown	unknown	unknown	(no curated annotation)	-0.62105	-0.49476	-3.346	0.0005154	285	285	False
CDS2	0.12504	1.9388e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	-0.28339	-0.40843	4.8097	9.753e-08	285	285	False
DPM1	-0.12487	7.8801e-09	4.6721e-05	unknown	unknown	unknown	(no curated annotation)	-0.33499	-0.21012	-5.8599	4.4261e-10	285	285	False
DNAJC11	0.1243	0.00050076	0.026829	unknown	unknown	unknown	(no curated annotation)	-0.60048	-0.72478	3.5009	0.00047315	285	285	False
USPL1	-0.12339	3.7444e-05	0.0062831	unknown	unknown	unknown	(no curated annotation)	-1.2369	-1.1135	-4.1558	1.1322e-05	285	285	False
CDC20	-0.12314	0.00016355	0.01362	unknown	unknown	unknown	(no curated annotation)	-2.1944	-2.0713	-3.7951	0.00011352	285	285	False
IDH3A	0.12311	2.144e-05	0.0045947	unknown	unknown	unknown	(no curated annotation)	-0.43007	-0.55318	4.2866	8.2847e-05	285	285	False
PPA1	0.12232	0.00012231	0.01153	unknown	unknown	unknown	(no curated annotation)	-0.98319	-1.1055	3.8685	0.00018501	285	285	False
UBE2M	0.12201	0.010081	0.14188	unknown	unknown	unknown	(no curated annotation)	-1.5451	-1.6671	2.5817	0.018467	285	285	False
DDX49	0.12198	0.0017423	0.055073	unknown	unknown	unknown	(no curated annotation)	-2.0216	-2.1436	3.1461	0.006028	285	285	False
RPL35	-0.12196	3.6697e-05	0.0062742	unknown	unknown	unknown	(no curated annotation)	-1.6062	-1.4843	-4.1607	7.5778e-05	285	285	False
PSMG4	0.12184	0.008622	0.13019	unknown	unknown	unknown	(no curated annotation)	-1.7956	-1.9174	2.6359	0.017003	285	285	False
SF3B1	-0.12138	3.9221e-05	0.0064596	unknown	unknown	unknown	(no curated annotation)	-1.5337	-1.4123	-4.145	2.9589e-05	285	285	False
UBE2H	-0.12138	3.6102e-06	0.0014272	unknown	unknown	unknown	(no curated annotation)	-0.54545	-0.42407	-4.6793	1.3919e-06	285	285	False
TLN1	-0.12134	4.5932e-05	0.00723	unknown	unknown	unknown	(no curated annotation)	-0.63149	-0.51014	-4.1074	1.66e-05	285	285	False
PTPN11	-0.12087	0.00041469	0.024669	unknown	unknown	unknown	(no curated annotation)	-0.76487	-0.644	-3.5516	0.00059482	285	285	False
POLR3K	0.12064	0.0003798	0.023136	unknown	unknown	unknown	(no curated annotation)	-1.5982	-1.7189	3.5752	0.00019656	285	285	False
UROS	0.12035	6.1034e-07	0.00063859	unknown	unknown	unknown	(no curated annotation)	-0.13168	-0.25203	5.0482	4.0566e-06	285	285	False
NCKAP1	-0.12011	0.00010862	0.010733	unknown	unknown	unknown	(no curated annotation)	-0.57266	-0.45255	-3.8982	0.00030504	285	285	False
RRM1	-0.1199	0.015924	0.17893	unknown	unknown	unknown	(no curated annotation)	-3.2726	-3.1527	-2.4179	0.013018	285	285	False
MRPS23	0.11983	0.00047465	0.025818	unknown	unknown	unknown	(no curated annotation)	-0.86663	-0.98646	3.5152	0.0010275	285	285	False
RPL14	0.11977	0.0011995	0.045154	unknown	unknown	unknown	(no curated annotation)	-2.2529	-2.3727	3.2555	0.0013768	285	285	False
TPT1	0.11976	8.9409e-07	0.00083701	unknown	unknown	unknown	(no curated annotation)	-1.0007	-1.1204	4.9688	1.4206e-06	285	285	False
TRA2B	0.11967	6.5749e-06	0.0021257	unknown	unknown	unknown	(no curated annotation)	-0.53802	-0.65769	4.5519	7.2098e-06	285	285	False
PPP1R15B	-0.11966	0.00282	0.071767	unknown	unknown	unknown	(no curated annotation)	-0.9051	-0.78544	-3	0.0014592	285	285	False
INTS9	-0.11934	0.00054837	0.028215	unknown	unknown	unknown	(no curated annotation)	-1.8548	-1.7355	-3.4761	0.0021314	285	285	False
ZBTB8OS	0.11889	0.00010007	0.010377	unknown	unknown	unknown	(no curated annotation)	-1.221	-1.3399	3.9185	0.00022441	285	285	False
MYB	0.11887	9.5267e-05	0.010147	unknown	unknown	unknown	(no curated annotation)	-0.30044	-0.41931	3.9398	0.044032	285	285	False
EIF5A	0.11884	0.0012984	0.047037	unknown	unknown	unknown	(no curated annotation)	-1.0721	-1.1909	3.2333	0.0016573	268	276	False
FAF2	-0.11854	3.7038e-05	0.0062742	unknown	unknown	unknown	(no curated annotation)	-0.66818	-0.54964	-4.159	0.00014788	285	285	False
GPN1	-0.11834	0.00094717	0.038641	unknown	unknown	unknown	(no curated annotation)	-1.8201	-1.7017	-3.3232	0.00038607	285	285	False
BCL2L1	-0.11821	0.038032	0.27342	unknown	unknown	unknown	(no curated annotation)	-1.2228	-1.1046	-2.0794	0.011338	285	285	False
STAMBP	-0.11735	0.00032127	0.021087	unknown	unknown	unknown	(no curated annotation)	-0.52237	-0.40502	-3.6203	0.00038161	285	285	False
PNKP	0.11727	1.075e-05	0.0027243	unknown	unknown	unknown	(no curated annotation)	-0.42476	-0.54203	4.4416	4.2184e-06	285	285	False
IMPDH2	0.11726	6.7135e-05	0.0088453	unknown	unknown	unknown	(no curated annotation)	-0.50043	-0.61769	4.0167	6.5388e-05	285	285	False
CIAO1	0.11695	0.0014014	0.049482	unknown	unknown	unknown	(no curated annotation)	-1.4129	-1.5299	3.2103	0.00086943	285	285	False
YARS1	0.11678	0.00050683	0.026991	unknown	unknown	unknown	(no curated annotation)	-2.2839	-2.4007	3.4973	0.0029774	285	285	False
NACA	-0.11669	0.00021307	0.016196	unknown	unknown	unknown	(no curated annotation)	-1.4086	-1.2919	-3.7271	0.00027483	285	285	False
PPA2	0.11657	0.00036906	0.022791	unknown	unknown	unknown	(no curated annotation)	-0.43056	-0.54714	3.5828	9.9729e-05	285	285	False
STX4	-0.11648	0.00026087	0.018487	unknown	unknown	unknown	(no curated annotation)	-0.43966	-0.32318	-3.6757	0.0014363	285	285	False
DDX54	0.11614	0.00064413	0.030965	unknown	unknown	unknown	(no curated annotation)	-1.6008	-1.7169	3.4316	0.0006187	285	285	False
POLG	0.1156	4.4312e-06	0.0016002	unknown	unknown	unknown	(no curated annotation)	-0.25606	-0.37166	4.636	9.1852e-06	285	285	False
PKMYT1	0.11551	0.0045578	0.093291	unknown	unknown	unknown	(no curated annotation)	-1.2829	-1.3984	2.8482	0.0091506	285	285	False
HEMK2	0.11537	0.00011733	0.011258	unknown	unknown	unknown	(no curated annotation)	-0.50214	-0.61751	3.8788	9.8275e-05	285	285	False
POP5	0.11523	0.0036181	0.082191	unknown	unknown	unknown	(no curated annotation)	-1.6995	-1.8148	2.9218	0.012399	285	285	False
MYH9	-0.11498	0.0020865	0.06114	unknown	unknown	unknown	(no curated annotation)	-0.59632	-0.48134	-3.0919	0.00027483	285	285	False
EIF3I	0.11371	0.00012247	0.01153	unknown	unknown	unknown	(no curated annotation)	-1.5424	-1.6561	3.8679	0.00012541	285	285	False
PKN2	-0.11364	1.5356e-05	0.0036418	unknown	unknown	unknown	(no curated annotation)	-0.41012	-0.29648	-4.3622	1.4289e-05	285	285	False
CINP	0.11301	5.3268e-05	0.0078305	unknown	unknown	unknown	(no curated annotation)	-0.92839	-1.0414	4.0722	3.5198e-05	285	285	False
LRPPRC	0.11254	0.00071815	0.032669	unknown	unknown	unknown	(no curated annotation)	-0.63378	-0.74632	3.4012	0.00085056	285	285	False
KPNB1	-0.11239	0.0025222	0.067582	unknown	unknown	unknown	(no curated annotation)	-2.5096	-2.3972	-3.0347	0.0017193	285	285	False
BIRC6	-0.11226	0.00010144	0.01043	unknown	unknown	unknown	(no curated annotation)	-0.41787	-0.30561	-3.9149	0.00011519	285	285	False
MRM2	0.11202	1.4212e-06	0.0011892	unknown	unknown	unknown	(no curated annotation)	-0.34277	-0.45479	4.8783	5.8971e-05	285	285	False
HAPSTR1	-0.11181	0.00063679	0.030806	unknown	unknown	unknown	(no curated annotation)	-0.51331	-0.4015	-3.4352	0.0022543	285	285	False
VARS1	0.11115	0.00043635	0.025037	unknown	unknown	unknown	(no curated annotation)	-1.5712	-1.6823	3.538	0.00021217	285	285	False
CEP55	0.11073	4.1636e-06	0.0015429	unknown	unknown	unknown	(no curated annotation)	-0.24343	-0.35416	4.6492	1.5849e-06	285	285	False
EIF3G	-0.11063	0.00023576	0.017472	unknown	unknown	unknown	(no curated annotation)	-1.48	-1.3693	-3.7009	0.00010184	285	285	False
NOL9	0.11057	7.1568e-05	0.0091484	unknown	unknown	unknown	(no curated annotation)	-1.089	-1.1996	4.0008	8.9021e-05	285	285	False
PRPF31	-0.11039	0.00095527	0.038882	unknown	unknown	unknown	(no curated annotation)	-2.1591	-2.0487	-3.3208	0.00079184	285	285	False
VIRMA	-0.11022	2.3807e-05	0.0049819	unknown	unknown	unknown	(no curated annotation)	-1.1618	-1.0516	-4.2612	2.3367e-05	285	285	False
EXOSC2	0.11015	3.1259e-05	0.00556	unknown	unknown	unknown	(no curated annotation)	-1.1657	-1.2758	4.1981	0.00049432	285	285	False
UTP4	0.1099	0.0054402	0.10266	unknown	unknown	unknown	(no curated annotation)	-2.076	-2.1859	2.7905	0.0086212	285	285	False
PSMD4	-0.10961	0.003882	0.084723	unknown	unknown	unknown	(no curated annotation)	-1.8354	-1.7258	-2.8995	0.0023241	285	285	False
RPL7A	0.10934	0.0091663	0.13509	unknown	unknown	unknown	(no curated annotation)	-2.4433	-2.5526	2.6149	0.00093856	285	285	False
PSMB4	-0.10922	0.0022509	0.064059	unknown	unknown	unknown	(no curated annotation)	-2.3634	-2.2542	-3.069	0.0019234	285	285	False
MARS2	0.10918	0.012798	0.16077	unknown	unknown	unknown	(no curated annotation)	-1.0539	-1.1631	2.4973	0.010665	285	285	False
DARS2	0.10908	1.8794e-05	0.0043414	unknown	unknown	unknown	(no curated annotation)	-0.30687	-0.41595	4.3164	4.1169e-05	285	285	False
RRM2	-0.10899	0.017791	0.18908	unknown	unknown	unknown	(no curated annotation)	-2.6842	-2.5752	-2.3769	0.008647	285	285	False
CDIN1	0.10885	2.6151e-05	0.0051221	unknown	unknown	unknown	(no curated annotation)	-0.21249	-0.32133	4.2398	2.8357e-05	285	285	False
CNOT3	-0.10851	0.0013769	0.048885	unknown	unknown	unknown	(no curated annotation)	-1.6631	-1.5546	-3.2153	0.00018917	285	285	False
IMP4	0.10835	4.8684e-06	0.0016604	unknown	unknown	unknown	(no curated annotation)	-1.1729	-1.2812	4.6153	7.9304e-06	285	285	False
NOL6	0.10834	2.6205e-05	0.0051221	unknown	unknown	unknown	(no curated annotation)	-1.1206	-1.229	4.239	4.4846e-05	285	285	False
SDHA	0.10809	0.00016659	0.013719	unknown	unknown	unknown	(no curated annotation)	-0.25897	-0.36705	3.7904	0.00035729	285	285	False
ARIH1	-0.10791	0.0014764	0.050597	unknown	unknown	unknown	(no curated annotation)	-1.4862	-1.3783	-3.1949	0.00088383	285	285	False
PGS1	0.10789	0.00029258	0.02025	unknown	unknown	unknown	(no curated annotation)	-0.84587	-0.95376	3.6448	0.00012259	285	285	False
ITGB1	-0.10787	0.0012021	0.045154	unknown	unknown	unknown	(no curated annotation)	-0.26174	-0.15387	-3.2561	0.0026767	285	285	False
TFB2M	0.10783	9.6201e-05	0.010185	unknown	unknown	unknown	(no curated annotation)	-0.62416	-0.73199	3.928	7.0779e-05	285	285	False
