id,smiles,mw,logp,hbd,hba,tpsa,rotb,qed,lipinski_ok,bbb_ok
550,Cc1ccc2[nH+]ccc(C=C[n+]3ccc4c(c3)CN(C)C4=O)c2c1,317.39,2.46,0,1,38.33,2,0.669,True,True
289,Cc1cccc(-c2cccc(O[C@@H](CO)NC(=O)c3ccccc3)c2)c1,347.41,3.79,2,3,58.56,6,0.667,True,True
160,C1=CC2OC(NN=Cc3ccccc3Oc3ccccc3)=NC2CN1,334.38,2.64,2,6,67.24,4,0.666,True,True
176,CNCC=CC=CCc1cc(N(C)C)c2ccc(O)c(OCC(C)=O)c2c1,368.48,3.45,2,5,61.8,9,0.664,True,True
245,C1=Cc2nc3ccc(C=CC4=NC5CCCC6NCCC6N5C4)c4cccc(c34)[n+]2=N1,409.52,3.42,1,5,58.78,2,0.66,True,True
304,CC1C=C(C=NNc2ccnc3ccccc23)C(=O)CC2C1CC[C@@H]2O,349.43,3.55,2,5,74.58,3,0.656,True,True
98,C1=C2OCC[C@@H]3[C@@H]4C[C@@H]5CNC(=NN=Cc6cnccc6-n6cncn6)C1=C5[C@]234,385.43,1.86,1,7,89.58,3,0.644,True,True
385,NC1=[N+](CCn2cc(C(=O)O)c3ccccc32)CC=C2C1=CCC[C@H]1O[C@@H]21,364.43,2.14,2,4,83.79,4,0.643,True,True
157,C1=C[C@@H]2CCCCCC2CC[N+]=1NNCc1cncnc1-c1ccnnc1,364.48,2.28,2,6,78.63,5,0.626,True,True
535,O=C1CC[C@@H]2C[C@@H]3C(=O)[N@@H+]4c5cccc6c7[nH]ccnc-7c(c56)CC4C[C@@H]3C[C@H]12,386.48,2.66,2,3,67.26,0,0.624,True,True
328,CNCCNc1ccccc1CNC(=O)c1cccc(C(=O)N2CCCC2)c1,380.49,2.48,3,4,73.47,8,0.615,True,True
237,CNC(=O)[C@H](NCc1cc[nH]c1C=Cc1ccccc1)c1ccccc1,345.45,3.76,3,2,56.92,7,0.611,True,True
13,C[C@@H](C[C@@H]1OOC2=C3C=[N+]4CNC[C@H]4[C@H]3NC=C21)[C@@H](C)c1ccnc2ncccc12,404.49,2.23,2,6,71.31,4,0.602,True,True
549,O=C1C(=Nc2ccccc2)C[C@H]2CC3C=CC4C[C@@H]5O[N+]1=C2C3C45,319.38,2.91,0,3,41.67,1,0.59,True,True
430,C=C1NC(=O)CC(CNC(=Nc2ccc(O)cc2)c2cncc(C)c2)=C1C,362.43,3.11,3,4,86.61,4,0.576,True,True
597,CCCc1ccccc1C=NNC1=NNC2C1COC1NC[C@@H]1C2C,341.46,1.68,3,6,70.04,4,0.576,True,True
150,C[C@]1(O)C2=[N+](O)[N+]3=CC(c4ccccc4Oc4cccnc4)=CNC=C3[C@H]21,362.39,1.89,3,5,80.63,3,0.574,True,True
133,C=C1CCC(=NN=Cc2cc3nc4c(c5cccc(n2)c35)=CC=NC=C4)N1,352.4,2.97,1,5,74.89,2,0.569,True,True
383,CCOc1cccc([C@@H](NC(=O)N=N[N+]2=CC3CCNC3=CC2)c2ccccc2)c1,404.49,3.84,2,4,78.09,6,0.567,True,True
301,CC(C)CNN=Cc1cccc(CCC(=O)N2CCN3C[C@@H](O)C[C@@H]3C2)c1,372.51,1.48,2,5,68.17,7,0.562,True,True
435,CC1=C(N)C(F)=CNC(N=C(C=Cc2ccc(C)cc2)Nc2cccc[nH+]2)=C1,376.46,3.82,3,3,76.58,4,0.561,True,True
218,C[C@H]1C[C@H](NNOc2cc(OCc3nccnc3O)c3ccccc3c2)C1,366.42,3.1,3,7,88.53,7,0.554,True,True
420,CC1=CC=C(O)c2cccc3c2=C1C(=O)C=3C=NNC1CCN[C@H](C)[C@H]1F,367.42,1.09,3,5,73.72,3,0.552,True,True
551,O[C@@H]1C=CC2C=C(Cc3nccnc4cc(-c5ccccc5)cc3-4)CC[N+]2=CC1,382.49,3.89,1,3,49.02,3,0.552,True,True
308,C=C1NC(=O)C2C=C(NN=Cc3cccc4c3ccc3c4ccn3C)C=CC12,368.44,3.58,2,4,58.42,3,0.548,True,True
526,C[n+]1ccc(-c2ccccc2)c2cc(ONC3=N[N+]4=NCCC4CCC3)ccc21,387.49,3.95,1,4,52.87,3,0.547,True,True
576,Cc1ccc(O[C@H](C=[N+]2C=C3C4CCC=C[C@@H]4[C@@H](F)[C@@H]3C2)C[C@H]2CCC=[N+](CO)C2)nc1,439.58,3.5,1,3,48.37,6,0.545,True,True
338,CN1CC2CCC3=C4C[C@H](C5=C([C@@H]6C[C@@H]7OOC[C@@H]7[C@@H](O)C6)C5)O[C@H]4C=C(C32)C1O,413.51,2.09,2,6,71.39,2,0.534,True,True
84,Cc1c(C=N[N+]2=CCC3C(=N)C=CNCC3C2)[nH]c2c1[C@H]1CCCCC1CC2,378.54,3.73,3,3,67.04,2,0.533,True,True
585-incomp,C1=CC=C2NC=NC=C2C=C1.O[C@@H]1CCCCC([N+]#CC#Cc2ccccn2)C1,385.49,3.97,2,4,61.87,0,0.525,True,True
546,Cc1ccc2nc(C#[N+]C3=CCC[C@H]4N=C34)c3ccc(C(=N)O)n3c2c1,342.38,3.86,2,4,78.1,1,0.52,True,True
288,COc1ccc(Cn2cncc2-c2cccnc2N=Cc2cccc(O)c2)cn1,385.43,3.85,1,7,85.42,6,0.51,True,True
350,c1ccc(-c2cccc(-c3c[nH]c(Nc4cc5c([nH+]n4)CCNCC5)n3)c2)cc1,383.48,3.38,3,4,79.77,4,0.505,True,True
561,Nc1ccc(C=NN=C2CC3CCC[C@@H]4OCC(=CN2)C34)cc1,310.4,2.69,2,4,72.0,2,0.501,True,True
486,O=C(NN=NN=C(c1ccccc1)c1ccc(F)cc1)[C@@H]1CCCN1,339.37,2.81,2,4,78.21,5,0.499,True,True
416,C[C@H]1CC[C@@H]2CC(C(=O)NCc3cccc(N=NN)c3)C[C@@H]3CO[C@H]1C23,356.47,3.35,2,4,89.07,4,0.492,True,True
216,C(=NNC1=[N+]=C2COCC3CCCCC(=C23)N1)c1ccccc1-n1ccnc1,375.46,1.74,2,6,77.57,3,0.487,True,True
463-incomp,C1=C(C=CC=CNNC2CC2)CCCCO1.CN1CC(=O)N[C@@H]2CCCCCC21,402.58,3.15,3,5,65.63,5,0.487,True,True
506,CC1=C(C#C[n+]2ccc(O)c3c2CCNC3=O)C=C2C1=C1CCCC1C2O,361.42,1.5,3,3,73.44,0,0.484,True,True
347,O=C(NN=CC(=CNN=C1OC2(CC2)C2=C[C@@H]21)c1ccccc1)c1ccccc1,384.44,3.47,2,5,75.08,6,0.455,True,True
395,CC1C(NC(=O)c2c3ccccc3nc3ccccc23)=NNc2c[nH]cc21,355.4,3.99,3,4,82.17,1,0.452,True,True
241,CC1=CCN=C=C(N=NN=C2OCC3=C4CCCC4C(=O)C(C)=CC32)C1,350.42,3.93,0,5,75.74,2,0.43,True,True
90,COc1ccc(C=NN=C2C3=CC(C=C[N+](=O)N=Cc4ccccc4)=N[C@@H]32)cc1,384.42,3.56,0,5,78.75,7,0.416,True,True
121,O=C1CCCN1NC=NNC1=C(c2ccccc2)C(c2ccccc2)=CNC=N1,386.46,2.69,3,5,81.12,6,0.405,True,True
