dir	partner_id	prot_len	ligand_smiles	iptm	lig_iptm	ptm	complex_plddt	confidence	affinity_pred_value	http_code	FAILED	COMPLETE
boltz2_perp_perp_w3_01_6052	PERP_w3_01	193	Cc1cccc(NC(=O)C2=C(c3cccs3)OCCO2)c1	0.6083167791366577	0.6083167791366577	0.6288905739784241	0.4689987003803253	0.4968623220920563		200	False	True
boltz2_perp_chrna1_w3_05_53775	CHRNA1_w3_05	457	C[C@@H](O)CN(C(=O)Nc1ccc(N2CCCC2=O)cc1)C	0.6000412702560425	0.6000412702560425	0.5765041708946228	0.5969817638397217	0.5975937247276306		200	False	True
boltz2_perp_chrna1_w3_02_88305	CHRNA1_w3_02	457	CC1=NN(c2ccc(NC(=O)N(C)C(C)(C)CO)cc2)C(=	0.584646999835968	0.584646999835968	0.6589928865432739	0.6335484981536865	0.6237682104110718		200	False	True
boltz2_perp_perp_w3_02_88305	PERP_w3_02	193	CC1=NN(c2ccc(NC(=O)N(C)C(C)(C)CO)cc2)C(=	0.5609860420227051	0.5609860420227051	0.5266067981719971	0.4847712218761444	0.5000142455101013		200	False	True
boltz2_perp_lrp4_w3_03_62061	LRP4_w3_03	1905	COCC(=O)N1CCC[C@@H](N=c2ncc(Cl)c[nH]2)C1	0.506415843963623	0.506415843963623	0.38602206110954285	0.6940524578094482	0.6565251350402832		200	False	True
boltz2_perp_lrp4_w3_04_49790	LRP4_w3_04	1905	Cc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1	0.5059093832969666	0.5059093832969666	0.3747884929180145	0.6980987787246704	0.6596609354019165		200	True	False
boltz2_perp_perp_w3_09_96157	PERP_w3_09	193	COCCN1CCCC[C@@H]1CNC(=O)c1ccc(C)cn1	0.5021990537643433	0.5021990537643433	0.4935804307460785	0.492043137550354	0.49407434463500977		200	False	True
boltz2_perp_perp_w3_05_53775	PERP_w3_05	193	C[C@@H](O)CN(C(=O)Nc1ccc(N2CCCC2=O)cc1)C	0.4792350232601166	0.4792350232601166	0.43162158131599426	0.49225112795829773	0.48964792490005493		200	False	True
boltz2_perp_lrp4_w3_06_30753	LRP4_w3_06	1905	C[C@@H]1CN(C2CC(NC(=O)C3(c4ccc(Cl)cc4)CC	0.4546563923358917	0.4546563923358917	0.39036938548088074	0.7054373621940613	0.6552811861038208		200	False	True
boltz2_perp_lrp4_w3_05_53775	LRP4_w3_05	1905	C[C@@H](O)CN(C(=O)Nc1ccc(N2CCCC2=O)cc1)C	0.4497046172618866	0.4497046172618866	0.37537437677383423	0.6966359615325928	0.647249698638916		200	False	True
boltz2_perp_lrp4_w3_00_54398	LRP4_w3_00	1905	Cc1cccc(NC(=O)C2=NN(c3cccs3)C(=O)C2)c1	0.4483671486377716	0.4483671486377716	0.3919040858745575	0.6978331804275513	0.6479399800300598		200	False	True
boltz2_perp_lrp4_w3_07_82908	LRP4_w3_07	1905	Cc1cccc(NC2=C(c3nccs3)C(=O)OC2)c1	0.44362878799438477	0.44362878799438477	0.37604427337646484	0.6992601752281189	0.6481339335441589		200	False	True
boltz2_perp_lrp4_w3_02_88305	LRP4_w3_02	1905	CC1=NN(c2ccc(NC(=O)N(C)C(C)(C)CO)cc2)C(=	0.4190579652786255	0.4190579652786255	0.3577609360218048	0.6966768503189087	0.6411530375480652		200	False	True
boltz2_perp_lrp4_w3_09_96157	LRP4_w3_09	1905	COCCN1CCCC[C@@H]1CNC(=O)c1ccc(C)cn1	0.4166050851345062	0.4166050851345062	0.34906625747680664	0.701827883720398	0.6447833180427551		200	False	True
boltz2_perp_lrp4_w3_01_6052	LRP4_w3_01	1905	Cc1cccc(NC(=O)C2=C(c3cccs3)OCCO2)c1	0.4035626947879791	0.4035626947879791	0.36190810799598694	0.7016184329986572	0.6420072913169861		200	False	True
boltz2_perp_lrp4_w3_08_63326	LRP4_w3_08	1905	Cn1nnc(C(C)(C)NC(=O)Nc2ccc(N3CCCC3=O)cc2	0.39892950654029846	0.39892950654029846	0.3765152394771576	0.6956868767738342	0.6363354325294495		200	True	False
boltz2_perp_perp_w3_06_30753	PERP_w3_06	193	C[C@@H]1CN(C2CC(NC(=O)C3(c4ccc(Cl)cc4)CC	0.28488945960998535	0.28488945960998535	0.4322901964187622	0.48111891746520996	0.44187304377555847		200	False	True
boltz2_perp_chrna1_w3_01_6052	CHRNA1_w3_01	457	Cc1cccc(NC(=O)C2=C(c3cccs3)OCCO2)c1							504	True	False
