job_name,target,predicate,iptm,ptm,ranking_score,created_utc
artn_x_gfra3,"",af3_iptm,0.860,0.850,0.890,2026-07-03
hif1a_x_arnt,"",af3_iptm,0.860,0.820,0.890,2026-06-29
25_map2k1_x_braf_449_723,"",af3_iptm,0.860,0.830,0.910,2026-06-10
pgk1_1_417_atp_2,PGK1,af3_iptm,0.860,0.850,0.860,2026-08-06
keap1_x_cul3,"",af3_iptm,0.860,0.770,0.890,2026-06-30
pkm2_1_531_adp,PKM,af3_iptm,0.860,0.910,0.890,2026-08-05
hif1a_x_crebbp,"",af3_iptm,0.860,0.870,1.020,2026-06-29
ppargc1a_x_ppara,"",af3_iptm,0.860,0.920,0.900,2026-06-29
hif1a_x_ep300,"",af3_iptm,0.860,0.870,1.020,2026-06-29
keap1_315_624_palb2_80_120,"",af3_iptm,0.860,0.870,0.930,2026-08-01
binder6312_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.860,0.900,0.870,2026-07-22
hif1a_x_arnt,"",af3_iptm,0.860,0.820,0.890,2026-06-30
tp73_dbd_tetramer_dna_s42,"",af3_iptm,0.860,0.880,0.860,2026-08-14
pgk1_1_417_atp,PGK1,af3_iptm,0.860,0.850,0.860,2026-08-05
of3_holo_KEAP1_8adfe3dd,KEAP1,af3_holo_iptm,0.859,0.499,,2026-08-02
of3_holo_KEAP1_5c03145b,KEAP1,af3_holo_iptm,0.858,0.495,,2026-08-02
of3_holo_KEAP1_d7f5291a,KEAP1,af3_holo_iptm,0.856,0.504,,2026-08-02
of3_holo_KEAP1_2f8ab58a,KEAP1,af3_holo_iptm,0.856,0.500,,2026-07-29
of3_holo_KEAP1_d11d8108,KEAP1,af3_holo_iptm,0.855,0.505,,2026-07-29
of3_holo_KEAP1_f8741433,KEAP1,af3_holo_iptm,0.855,0.504,,2026-08-02
of3_holo_KEAP1_2bee1a15,KEAP1,af3_holo_iptm,0.852,0.501,,2026-08-02
ppargc1a_x_ppard,"",af3_iptm,0.850,0.920,0.900,2026-06-29
binder7438_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.850,0.910,0.860,2026-07-21
a_x_b_c6197e5b,"",af3_iptm,0.850,0.900,0.870,2026-07-29
07_mapk11_x_mapkapk2,"",af3_iptm,0.850,0.820,0.910,2026-06-05
ppargc1a_x_esrra,"",af3_iptm,0.850,0.890,0.900,2026-06-29
ppargc1a_x_esrra,"",af3_iptm,0.850,0.890,0.900,2026-06-30
binder6116_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.850,0.920,0.860,2026-07-22
pgk1_cdom_200_417_atp,PGK1,af3_iptm,0.850,0.830,0.850,2026-08-06
30_keap1_315_624_x_palb2_1_103,"",af3_iptm,0.850,0.770,0.960,2026-06-10
pkm2_1_531_atp,PKM,af3_iptm,0.850,0.910,0.880,2026-08-05
p38b_x_mk2,"",af3_iptm,0.850,0.830,0.910,2026-08-13
tsc2_1_251_x_tardbp_104_176,"",af3_iptm,0.850,0.800,0.900,2026-07-26
sarm1_arm_nad_s7,SARM1,af3_iptm,0.850,0.920,0.860,2026-08-13
30_keap1_315_624_x_palb2_1_103,"",af3_iptm,0.850,0.770,0.960,2026-06-12
of3_holo_KEAP1_70f93a52,KEAP1,af3_holo_iptm,0.846,0.492,,2026-08-02
of3_holo_KEAP1_236af521,KEAP1,af3_holo_iptm,0.844,0.502,,2026-07-29
of3_holo_KEAP1_e17dca80,KEAP1,af3_holo_iptm,0.842,0.506,,2026-08-02
p38a_kin_24_308_x_mk2,"",af3_iptm,0.840,0.840,0.910,2026-08-13
pkm2_c_390_531_cit,PKM,af3_iptm,0.840,0.900,0.850,2026-08-05
58_stmn2_x_tuba1b,"",af3_iptm,0.840,0.820,0.980,2026-06-07
stmn2_tuba1a,"",af3_iptm,0.840,0.820,0.990,2026-08-01
nmj_gfra1_gdnf,"",af3_iptm,0.840,0.790,0.890,2026-06-29
64_mapk11_x_mapkapk3,"",af3_iptm,0.840,0.830,0.890,2026-06-14
64_mapk11_x_mapkapk3,"",af3_iptm,0.840,0.830,0.890,2026-06-12
p38b_x_mk3,"",af3_iptm,0.840,0.840,0.900,2026-08-13
chrna1_x_chrne,"",af3_iptm,0.840,0.860,0.850,2026-07-03
03_mapk14_x_dusp1,"",af3_iptm,0.840,0.800,0.890,2026-06-08
uba1_ube2n,"",af3_iptm,0.840,0.870,0.870,2026-08-01
03_mapk14_x_dusp1,"",af3_iptm,0.840,0.800,0.890,2026-06-10
deptor_322_409_x_mtor_1376_1626,"",af3_iptm,0.840,0.670,0.820,2026-07-15
sarm1_armsam_nad_s7,SARM1,af3_iptm,0.840,0.800,0.830,2026-08-13
raptor_251_501_x_mtor_501_751,"",af3_iptm,0.840,0.830,0.860,2026-07-11
lrp4_435_697_x_sost_none_none,"",af3_iptm,0.840,0.620,0.940,2026-07-29
stmn2_40_179_tuba1a,"",af3_iptm,0.840,0.860,0.970,2026-08-01
mapk14_x_mapkapk3,"",af3_iptm,0.840,0.860,0.870,2026-07-03
47_stmn2_x_tuba1a,"",af3_iptm,0.840,0.820,0.980,2026-06-05
deptor_322_409_x_mtor_1382_1982,"",af3_iptm,0.840,0.740,0.860,2026-07-15
sarm1_armsam_nad_s42,SARM1,af3_iptm,0.840,0.800,0.830,2026-08-13
keap1_x_dpp3,"",af3_iptm,0.840,0.880,0.910,2026-06-30
of3_holo_KEAP1_3e8496c9,KEAP1,af3_holo_iptm,0.836,0.498,,2026-08-02
of3_holo_KEAP1_4c1eca7f,KEAP1,af3_holo_iptm,0.835,0.494,,2026-07-29
of3_holo_KEAP1_4540e284,KEAP1,af3_holo_iptm,0.832,0.505,,2026-08-02
keap1_kelch_x_nfe2l2,"",af3_iptm,0.830,0.390,1.010,2026-05-26
p38a_kin_24_308_x_mk2_s7,"",af3_iptm,0.830,0.840,0.900,2026-08-13
42_mapt_x_gsk3b,"",af3_iptm,0.830,0.430,1.090,2026-06-12
36_stk11_x_cab39,"",af3_iptm,0.830,0.760,0.900,2026-06-21
13_mapk1_x_rps6ka3_400_740,"",af3_iptm,0.830,0.700,0.830,2026-06-05
p38b_x_mk3_s7,"",af3_iptm,0.830,0.830,0.890,2026-08-13
prkaa1_x_prkag1,"",af3_iptm,0.830,0.770,0.960,2026-06-29
p38a_x_mk3_s7,"",af3_iptm,0.830,0.820,0.880,2026-08-13
uba1_ube2d1_atp,"",af3_iptm,0.830,0.880,0.860,2026-08-03
limk1_kin_x_cfl2_f,"",af3_iptm,0.830,0.860,0.860,2026-05-16
chrna1_x_chrnd,"",af3_iptm,0.830,0.860,0.830,2026-07-03
limk1_kin_x_cfl2_f,"",af3_iptm,0.830,0.850,0.860,2026-05-14
sarm1_560_724_ndp,SARM1,af3_iptm,0.830,0.820,0.870,2026-08-05
37_hdac2_x_mta3_1_430,"",af3_iptm,0.830,0.810,0.930,2026-06-10
limk1_kin_x_cfl2_f,"",af3_iptm,0.830,0.860,0.860,2026-05-17
16_pkm_x_pkm,"",af3_iptm,0.830,0.880,0.850,2026-06-21
p38a_x_mk3,"",af3_iptm,0.830,0.810,0.880,2026-08-13
rock2_kin_x_cfl2_f,"",af3_iptm,0.830,0.850,0.830,2026-05-16
42_mapt_x_gsk3b,"",af3_iptm,0.830,0.430,1.090,2026-06-10
prkaa2_prkag1_amp,"",af3_iptm,0.830,0.800,0.910,2026-08-03
mapk11_mapkapk2_atp,"",af3_iptm,0.830,0.820,0.890,2026-08-03
rock2_kin_x_cfl2_f,"",af3_iptm,0.830,0.850,0.830,2026-05-17
37_hdac2_x_mta3_1_430,"",af3_iptm,0.830,0.810,0.930,2026-06-12
11_mapk14_x_mapkapk3,"",af3_iptm,0.830,0.810,0.880,2026-06-05
p38b_kin_24_308_x_mk2_s7,"",af3_iptm,0.830,0.830,0.900,2026-08-13
pkm2_dimer,"",af3_iptm,0.830,0.880,0.850,2026-08-03
sarm1_sam_400_560_oct_s7,"",af3_iptm,0.830,0.840,0.880,2026-08-10
prkaa1_x_prkag1,"",af3_iptm,0.830,0.770,0.960,2026-06-30
sarm1_sam_400_560_oct,"",af3_iptm,0.830,0.840,0.880,2026-08-10
18_mapk1_x_rps6ka2_400_733,"",af3_iptm,0.830,0.710,0.830,2026-06-08
deptor_322_409_x_mtor_1501_1751,"",af3_iptm,0.830,0.740,0.810,2026-07-15
tsc2_1_251_x_tardbp_104_176,"",af3_iptm,0.830,0.800,0.880,2026-07-07
of3_holo_KEAP1_251ca333,KEAP1,af3_holo_iptm,0.828,0.493,,2026-08-02
of3_holo_KEAP1_fb5faa19,KEAP1,af3_holo_iptm,0.824,0.493,,2026-08-02
of3_holo_KEAP1_3be3016b,KEAP1,af3_holo_iptm,0.820,0.501,,2026-07-29
limk1_330_647_x_cfl2_none_none,"",af3_iptm,0.820,0.850,0.860,2026-07-15
pkm2_1_531_dimer_apo,"",af3_iptm,0.820,0.870,0.840,2026-08-05
pgk1_n_1_200_adp,PGK1,af3_iptm,0.820,0.920,0.840,2026-08-05
rock2_kin_x_cfl2_f,"",af3_iptm,0.820,0.850,0.830,2026-05-14
prkab1_x_prkag1,"",af3_iptm,0.820,0.790,0.880,2026-06-29
stmn2_tuba1a_tubb3,"",af3_iptm,0.820,0.870,0.920,2026-08-03
mtor_x_deptor,"",af3_iptm,0.820,0.730,0.840,2026-06-29
a_x_b_a0563675,"",af3_iptm,0.820,0.870,0.830,2026-07-04
a_x_b_35317f50,"",af3_iptm,0.820,0.870,0.830,2026-07-04
prkab1_x_prkag1,"",af3_iptm,0.820,0.790,0.880,2026-06-30
mapk14_x_mapkapk2,"",af3_iptm,0.820,0.590,0.800,2026-07-03
06_mapk14_x_mapkapk5,"",af3_iptm,0.820,0.610,0.800,2026-06-12
06_mapk14_x_mapkapk5,"",af3_iptm,0.820,0.610,0.800,2026-06-08
mtor_x_deptor,"",af3_iptm,0.820,0.730,0.840,2026-06-30
06_mapk14_x_mapkapk5,"",af3_iptm,0.820,0.610,0.800,2026-06-10
p38b_kin_24_308_x_mk2,"",af3_iptm,0.820,0.830,0.890,2026-08-13
uba1_1_1058_ube2d1,"",af3_iptm,0.820,0.870,0.850,2026-08-05
of3_holo_KEAP1_c10e3b50,KEAP1,af3_holo_iptm,0.817,0.512,,2026-07-29
of3_holo_KEAP1_8ea38df2,KEAP1,af3_holo_iptm,0.815,0.507,,2026-08-02
of3_holo_KEAP1_97569c7f,KEAP1,af3_holo_iptm,0.814,0.510,,2026-07-29
of3_holo_KEAP1_bc42c0f7,KEAP1,af3_holo_iptm,0.814,0.504,,2026-08-02
of3_holo_DNM1L_dfb4fa46,DNM1L,af3_holo_iptm,0.814,0.458,,2026-08-11
of3_holo_KEAP1_b4afe501,KEAP1,af3_holo_iptm,0.813,0.495,,2026-07-29
of3_holo_KEAP1_ec9eb4fd,KEAP1,af3_holo_iptm,0.811,0.501,,2026-07-29
of3_holo_DNM1L_43d5468c,DNM1L,af3_holo_iptm,0.811,0.468,,2026-08-15
of3_holo_DNM1L_1b40badf,DNM1L,af3_holo_iptm,0.810,0.484,,2026-08-15
nrg1_176_246_erbb4_20_640,"",af3_iptm,0.810,0.820,0.840,2026-07-31
prkaa2_x_prkag2,"",af3_iptm,0.810,0.750,0.930,2026-06-29
04_mapk14_x_dusp10,"",af3_iptm,0.810,0.710,0.890,2026-06-12
32_prkaa1_x_prkag1,"",af3_iptm,0.810,0.710,0.880,2026-06-21
binder7242_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.810,0.870,0.820,2026-07-21
53_mapk1_x_dusp9,"",af3_iptm,0.810,0.750,0.870,2026-06-12
17_mapk1_x_dusp6,"",af3_iptm,0.810,0.790,0.870,2026-06-08
04_mapk14_x_dusp10,"",af3_iptm,0.810,0.710,0.890,2026-06-08
nrg1_176_246_erbb3_20_640,"",af3_iptm,0.810,0.840,0.850,2026-08-02
a_x_b_d9e537ea,"",af3_iptm,0.810,0.820,0.820,2026-07-30
mapk11_x_mapkapk2,"",af3_iptm,0.810,0.570,0.780,2026-07-03
53_mapk1_x_dusp9,"",af3_iptm,0.810,0.750,0.870,2026-06-10
sarm1_full_1_724_nad_s7,SARM1,af3_iptm,0.810,0.800,0.870,2026-08-10
04_mapk14_x_dusp10,"",af3_iptm,0.810,0.710,0.890,2026-06-10
of3_holo_KEAP1_3c4f865b,KEAP1,af3_holo_iptm,0.808,0.493,,2026-07-29
of3_holo_DNM1L_0a3c21da,DNM1L,af3_holo_iptm,0.807,0.444,,2026-08-12
of3_holo_DNM1L_7a544782,DNM1L,af3_holo_iptm,0.806,0.455,,2026-08-11
of3_holo_DNM1L_80b9128f,DNM1L,af3_holo_iptm,0.806,0.467,,2026-08-15
of3_holo_DNM1L_a508e652,DNM1L,af3_holo_iptm,0.806,0.480,,2026-08-15
of3_holo_DNM1L_ddcc8293,DNM1L,af3_holo_iptm,0.805,0.477,,2026-08-14
of3_holo_DNM1L_cb70a1f0,DNM1L,af3_holo_iptm,0.804,0.458,,2026-08-12
of3_holo_DNM1L_55385e6b,DNM1L,af3_holo_iptm,0.803,0.493,,2026-08-16
of3_holo_KEAP1_4beff5d2,KEAP1,af3_holo_iptm,0.803,0.492,,2026-07-29
of3_holo_DNM1L_589564cc,DNM1L,af3_holo_iptm,0.802,0.470,,2026-08-11
of3_holo_DNM1L_999b136a,DNM1L,af3_holo_iptm,0.802,0.474,,2026-08-16
of3_holo_DNM1L_6c72a4d4,DNM1L,af3_holo_iptm,0.801,0.509,,2026-08-15
of3_holo_KEAP1_997ca102,KEAP1,af3_holo_iptm,0.801,0.499,,2026-08-02
keap1_315_624_nfe2l2_1_35,"",af3_iptm,0.800,0.880,0.870,2026-08-01
nrg1_full_x_erbb3_ecd,"",af3_iptm,0.800,0.540,0.950,2026-05-16
limk2_330_638_x_cfl2_none_none,"",af3_iptm,0.800,0.830,0.830,2026-07-15
sarm1_full_1_724_nad,SARM1,af3_iptm,0.800,0.790,0.850,2026-08-10
sarm1_sam_octamer_s7,"",af3_iptm,0.800,0.850,0.810,2026-08-13
18_map3k7_1_310_x_tab1,"",af3_iptm,0.800,0.670,0.890,2026-06-10
limk2_kin_x_cfl1_f,"",af3_iptm,0.800,0.820,0.830,2026-05-14
erbb4_26_600_x_nrg1_176_246,"",af3_iptm,0.800,0.850,0.840,2026-07-15
pgk1_n_1_200_atp,PGK1,af3_iptm,0.800,0.910,0.820,2026-08-05
hk1_n_1_450_adp,HK1,af3_iptm,0.800,0.840,0.820,2026-08-05
limk2_330_638_x_cfl1_none_none,"",af3_iptm,0.800,0.820,0.830,2026-07-15
mtor_2181_2484_x_mtor_1251_1501,"",af3_iptm,0.800,0.750,0.830,2026-07-28
limk2_kin_x_cfl1_f,"",af3_iptm,0.800,0.820,0.830,2026-05-16
12_mapk3_x_rps6ka1_400_735,"",af3_iptm,0.800,0.650,0.810,2026-06-05
sarm1_full_1_724_nad_2,SARM1,af3_iptm,0.800,0.790,0.850,2026-08-10
limk2_kin_x_cfl1_f,"",af3_iptm,0.800,0.820,0.830,2026-05-17
raptor_1_500_x_mtor_626_876,"",af3_iptm,0.800,0.830,0.830,2026-07-11
binder7017_lrp4_x_lrp4_beta1_prop_435_697,"",af3_iptm,0.800,0.890,0.820,2026-07-21
keap1_kelch_x_sqstm1,"",af3_iptm,0.800,0.470,0.900,2026-05-26
sarm1_sam_octamer_s42,"",af3_iptm,0.800,0.850,0.810,2026-08-13
14_mapk1_x_elk1,"",af3_iptm,0.800,0.520,0.960,2026-06-05
nrg1_full_x_erbb3_ecd,"",af3_iptm,0.800,0.540,0.950,2026-05-14
of3_holo_DNM1L_9853abd4,DNM1L,af3_holo_iptm,0.799,0.448,,2026-08-16
of3_holo_DNM1L_5e87966f,DNM1L,af3_holo_iptm,0.799,0.469,,2026-08-12
of3_holo_KEAP1_ecbf3494,KEAP1,af3_holo_iptm,0.798,0.484,,2026-07-29
of3_holo_DNM1L_bca78f2d,DNM1L,af3_holo_iptm,0.798,0.452,,2026-08-12
of3_holo_DNM1L_3f0e333a,DNM1L,af3_holo_iptm,0.797,0.479,,2026-08-12
of3_holo_DNM1L_1c15587e,DNM1L,af3_holo_iptm,0.797,0.474,,2026-08-15
of3_holo_DNM1L_fad8b6a4,DNM1L,af3_holo_iptm,0.796,0.423,,2026-08-14
of3_holo_DNM1L_cdb23857,DNM1L,af3_holo_iptm,0.796,0.465,,2026-08-15
of3_holo_DNM1L_09692db2,DNM1L,af3_holo_iptm,0.796,0.465,,2026-08-11
of3_holo_KEAP1_9e757016,KEAP1,af3_holo_iptm,0.796,0.501,,2026-07-30
of3_holo_DNM1L_e0ffbaee,DNM1L,af3_holo_iptm,0.796,0.448,,2026-08-11
of3_holo_DNM1L_bcc9633a,DNM1L,af3_holo_iptm,0.796,0.444,,2026-08-11
of3_holo_DNM1L_2a64c40b,DNM1L,af3_holo_iptm,0.795,0.464,,2026-08-12
of3_holo_KEAP1_b756e4f6,KEAP1,af3_holo_iptm,0.795,0.489,,2026-07-29
of3_holo_DNM1L_a070d470,DNM1L,af3_holo_iptm,0.795,0.454,,2026-08-15
of3_holo_DNM1L_4722166d,DNM1L,af3_holo_iptm,0.795,0.479,,2026-08-11
of3_holo_DNM1L_d9102314,DNM1L,af3_holo_iptm,0.795,0.473,,2026-08-13
of3_holo_DNM1L_084e01d0,DNM1L,af3_holo_iptm,0.795,0.454,,2026-08-16
of3_holo_DNM1L_61159bd7,DNM1L,af3_holo_iptm,0.794,0.492,,2026-08-13
