filename,strategy,smiles,MW,logP,TPSA,HBD,HBA,QED,BBB,tanimoto_limki3
397.sdf,A,CCNC(=O)c1ccc2[nH]c3cc(Cc4cccc[nH+]4)ccc3c2c1,330.41100000000006,3.4757000000000016,59.03,2,1,0.5912250343982077,0.7350051267363393,0.18309859154929578
376.sdf,A,COc1ccc2ccc(-c3ccc(NC4=NNC=CC=C4)cc3)[nH+]c2c1,343.41,3.7280000000000024,59.79,2,4,0.7617339146475721,0.704879577986459,0.09333333333333334
291.sdf,A,O=c1c(-c2ccccc2)c[nH]c2c(O)c(OCc3ccccc3)ccc12,343.3820000000002,4.479700000000004,62.32000000000001,2,3,0.5741826116632578,0.5570411264639836,0.15151515151515152
151.sdf,A,c1ccc(Nc2ncnc3cc(OCCNc4ccccn4)ccc23)cc1,357.41700000000003,4.259300000000002,71.96000000000001,2,6,0.48164498673574385,0.5382447967113656,0.14084507042253522
412.sdf,A,O=C(CNc1ccc2ncccc2c1)Nc1cccc(Cc2cccnc2)c1,368.44000000000017,4.271200000000002,66.91,2,4,0.5332827787394964,0.5740134930719385,0.18309859154929578
191.sdf,A,O=C(c1ccc(Nc2nc3ccccc3[nH]2)cc1)c1ccc[nH+]c1,315.356,3.3516000000000004,71.92,2,3,0.5672761165903034,0.6452601755048079,0.2
86.sdf,A,O=C(O)c1ccc(C2=NNC=Nc3c2ccn3Cc2ccccc2)c(F)c1,362.3640000000001,3.3891000000000018,78.98000000000002,2,4,0.7466655074686974,0.5648112316485265,0.14864864864864866
236.sdf,A,O=c1[nH]cc(-c2ccc(N3CCN(CCCCO)CC3)cc2)nc1-c1ccccc1,404.5140000000002,2.998400000000001,72.46000000000001,2,5,0.5925357100078884,0.6516716132880004,0.13513513513513514
294.sdf,A,c1ccc(Nc2ccc3c4c(-c5cc[nH+]cc5)[nH]oc-4nc3c2)[nH+]c1,329.3630000000001,3.299500000000001,82.13000000000001,2,3,0.5326490831088155,0.5290603485767341,0.1232876712328767
189.sdf,A,Fc1ccc(CCCc2[nH]cnc3c(Nc4cnc[nH+]c4)cnc2-3)c(F)c1,367.38300000000015,3.3157000000000014,80.63000000000001,2,4,0.5478358541099626,0.5477748677962954,0.07228915662650602
109.sdf,A,O=C(NCCCc1ccc(O)c(OCCc2ccccc2)c1)c1ccccc1,375.46800000000025,4.376300000000003,58.559999999999995,2,3,0.5459356599184492,0.5981377945930205,0.23809523809523808
425.sdf,A,O=C(O)c1ccc(NC(=O)c2ccc(-c3ccncc3)cc2F)cc1,336.322,3.8382000000000014,79.29,2,3,0.7585661370951093,0.5253222485572634,0.2542372881355932
107.sdf,A,C(#Cc1cc(NCCc2ccccc2)nc[nH+]1)c1ccc(-c2ccc3[nH]cnc3n2)cc1,417.49600000000015,3.8884000000000016,80.63,2,4,0.42532655207153397,0.5043295481831866,0.0963855421686747
409.sdf,A,CN(c1ccc(-c2cc(-c3ccc(O)[nH+]c3)n[nH]2)cc1)c1cccc[nH+]1,345.4060000000001,2.8454000000000006,80.43,2,3,0.5967110412858923,0.5592547306037542,0.0945945945945946
14.sdf,B,O=C(N[C@@H](CO)C(=O)NCCc1ccccc1)c1ccc(-c2ccccc2)cc1,388.46700000000016,2.8032000000000004,78.43,3,3,0.5552622411785201,0.5841841868792239,0.30357142857142855
105.sdf,C,c1ccc(-c2cccc(Nc3ncnc4c3[nH]c3ccccc34)c2)[nH+]c1,338.39400000000006,4.3358000000000025,67.74000000000001,2,3,0.5141969738838241,0.5557006349931386,0.10810810810810811
244.sdf,C,O=C(Nc1cc2ccccc2[nH]c1=O)[C@@H](CN1CCNCC1)c1ccccc1,376.46000000000004,2.1555999999999997,77.23,3,4,0.6377526379327282,0.5721197183760786,0.2
41.sdf,C,O=C(NCc1ccc(N2CCCCC2=O)cc1)C1=CNc2cccc3cccc1c23,397.4780000000001,4.439500000000003,61.440000000000005,2,3,0.6842294845382049,0.5705713827316607,0.1282051282051282
