arm,rank,smiles,murcko_scaffold
MDM2,3,CN1C[C@@H]2CN(Cc3ccncc3)C[C@@H]2N(c2ccc(N)nc2)C1=O,O=C1NC[C@@H]2CN(Cc3ccncc3)C[C@@H]2N1c1cccnc1
MDM2,4,CC(=O)NC1=C2C(=Nc3c2cnc2ccccc32)N(C)C1=O,O=C1C=C2C(=Nc3c2cnc2ccccc32)N1
MDM2,5,O=C(O)[C@@H]1C=C[C@H]2C1=CCCc1nc(-c3ccc(F)cc3)ncc12,C1=C[C@H]2C(=CCCc3nc(-c4ccccc4)ncc32)C1
MDM2,6,O=C(O)C1=CNC(c2ccccc2)=C(N2C=CC=C(F)C=C2)c2cnccc21,C1=CC=CN(C2=C(c3ccccc3)NC=Cc3ccncc32)C=C1
MDM2,7,Cc1cccc(CC2CCN(CC=C(O)N3CCOCC3)CC2)c1,C(=CN1CCOCC1)CN1CCC(Cc2ccccc2)CC1
MDM2,8,O=Cc1ccc2c(c1)C(CNCc1ccccn1)=C1C=CC=CC=C1O2,C1=CC=C2Oc3ccccc3C(CNCc3ccccn3)=C2C=C1
MDM2,9,C1=NC2=C3C(=CNc4ccccc43)CCCN(c3cc[nH+]cc3)C2=[NH+]1,C1=NC2=C3C(=CNc4ccccc43)CCCN(c3cc[nH+]cc3)C2=[NH+]1
MDM2,10,O=C(O)c1ccc(NC2=C[N+](Cc3ccccc3)=C3N=CN=C23)cc1,C1=NC2=[N+](Cc3ccccc3)C=C(Nc3ccccc3)C2=N1
MDM2,11,COc1ccc(C=C2C(O)=Nc3ncccc3[C@H]3[C@H]2CCN2CCCN[C@@H]32)cc1,C1=Nc2ncccc2[C@H]2[C@@H](CCN3CCCN[C@@H]23)C1=Cc1ccccc1
MDM2,12,CN(C)c1ccc2c(c1)CCN1CC[C@H]3C[C@@H]1[C@@H]2CCc1c(O)cccc13,c1ccc2c(c1)CC[C@@H]1c3ccccc3CCN3CC[C@H]2C[C@H]13
MDM2,13,Cc1ccc(N)c2c1NC=C(c1cccc(CN3CCN(C)C3=O)c1)C=C2,O=C1NCCN1Cc1cccc(C2=CNc3ccccc3C=C2)c1
MDM2,14,O=C1CN2CCCC[C@H]2N1C1=C2C(Cc3cncc4ccccc34)=NN=C2N=N1,O=C1CN2CCCC[C@H]2N1C1=C2C(Cc3cncc4ccccc34)=NN=C2N=N1
MDM2,15,O=C(O)C1=Cc2c(ccnc2N2CCCN3CCC[C@H]3[C@@H]2c2ccccc2)NC=C1,C1=CNc2ccnc(N3CCCN4CCC[C@H]4[C@@H]3c3ccccc3)c2C=C1
MDM2,16,CN1C(=O)c2ccc(C(=O)O)c(c2)C(O)c2ccccc2O[C@@H]2CCC[C@@H]21,O=C1N[C@H]2CCC[C@H]2Oc2ccccc2Cc2cccc1c2
MDM2,17,Nc1nccc([C@@H]2CCCN3CO[C@@H](C3)[C@H](c3ccccc3)OCCCCN2)n1,c1ccc([C@@H]2OCCCCN[C@H](c3ccncn3)CCCN3CO[C@H]2C3)cc1
MDM2,18,Cn1cc([C@H](Cc2ccccc2)c2ccccc2)c(=O)[nH]c1=O,O=c1[nH]cc([C@H](Cc2ccccc2)c2ccccc2)c(=O)[nH]1
MDM2,19,OC1=CC=CC2=CC(NCC3=Cc4cccc5cc[nH+]c3c45)=CNC2=C1,C1=CC=C2NC=C(NCC3=Cc4cccc5cc[nH+]c3c45)C=C2C=C1
MDM2,20,O=S(=O)(c1cc2c(c3c1-c1ccccc1NC=3)=CC=C(O)O2)N1CCCCCC1,O=S(=O)(c1cc2c(c3c1-c1ccccc1NC=3)=CC=CO2)N1CCCCCC1
