source,smiles,qed,sma_score
genmol:bms5_right_med,Nc1nccc(NC(=O)c2ccc(F)cc2)n1,0.821,2.4791678666522947e-09
genmol:bms5_right_med,CSCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.571,2.4791678666522947e-09
genmol:bms5_right_med,CCOC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.585,2.4791678666522947e-09
genmol:bms5_right_med,CCS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.818,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3cccc(C)c3n2)ccc1O,0.773,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncccccc3cccc-3cn2)ccc1O,0.775,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2nccc(Cl)c(=O)n2)ccc1O,0.896,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3nc4ccccc4nc3n2)ccc1O,0.573,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3nc4cc-4c3n2)ccc1O,0.592,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2nccccc3ccccc3cn2)ccc1O,0.773,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3cc4cc-4c3n2)ccc1O,0.594,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3c(O)c(I)ccc3n2)ccc1O,0.653,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3c(c(=O)n2)=C(N)C=3)ccc1O,0.731,2.4791678666522947e-09
genmol:limki3_lhop,COc1cc(-c2ncc3c(n2)C=CC=CC=C3)ccc1O,0.914,2.4791678666522947e-09
genmol:bms5_right_med,CCC(C)NC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.486,2.4791678666522947e-09
genmol:bms5_right_med,CC(C)NC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.501,2.4791678666522947e-09
genmol:bms5_right_med,CC(C)NC(=N)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.506,2.4791678666522947e-09
genmol:bms5_right_med,CN(C)CC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.565,2.4791678666522947e-09
genmol:bms5_right_med,COCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.569,2.4791678666522947e-09
genmol:bms5_right_med,CN(C)S(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.792,2.4791678666522947e-09
genmol:fasudil_small,COc1ccc2c(c1)sc1cc(S(N)(=O)=O)ccc12,0.789,2.4791678666522947e-09
genmol:bms5_right_med,CCOC(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.831,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NC(=O)CCl,0.838,2.4791678666522947e-09
genmol:ripasudil_large,COc1cccc(-c2ccccc2S(=O)(=O)N(C)C)c1,0.87,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1-c1ccc2c(c1)OCCO2,0.871,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NCCc1ncccn1,0.872,2.4791678666522947e-09
genmol:ripasudil_large,CCCC(=O)Nc1ccccc1S(=O)(=O)N(C)C,0.885,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Nc1ncccc1N,0.894,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Nc1ccccc1,0.934,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NC(=O)c1cccs1,0.942,2.4791678666522947e-09
genmol:limki3_large,COc1cc(-c2nccccc3c(c(Br)n2)=CC=CC=CC=3)ccc1O,0.826,2.4791678666522947e-09
genmol:bms5_right_small,CNCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.486,2.4791678666522947e-09
genmol:bms5_right_small,N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.496,2.4791678666522947e-09
genmol:bms5_right_small,CC[N+]=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.837,2.4791678666522947e-09
genmol:bms5_right_small,CC(C)=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.909,2.4791678666522947e-09
genmol:bms5_right_small,[N-]=[N+]=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.505,2.4791678666522947e-09
genmol:bms5_right_small,N=C([O-])c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.541,2.4791678666522947e-09
genmol:bms5_right_small,CCCN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.577,2.4791678666522947e-09
genmol:ripasudil_large,CCC1CCN(c2ccccc2S(=O)(=O)N(C)C)CC1,0.857,2.4791678666522947e-09
genmol:ripasudil_large,CNc1ccccc1S(=O)(=O)N(C)C,0.816,2.4791678666522947e-09
genmol:ripasudil_large,CCCCNCCNc1ccccc1S(=O)(=O)N(C)C,0.682,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1-c1ncc(C=O)s1,0.808,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)C(C)C)nc(N)n2)cc1,0.898,2.4791678666522947e-09
genmol:ripasudil_large,CNNc1ccccc1S(=O)(=O)N(C)C,0.737,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Cl,0.758,2.4791678666522947e-09
genmol:ripasudil_large,CCCn1cnnc1Sc1ccccc1S(=O)(=O)N(C)C,0.813,2.4791678666522947e-09
genmol:ripasudil_large,CCCCc1noc(-c2ccccc2S(=O)(=O)N(C)C)n1,0.818,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1OCCc1ccccc1,0.824,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Nc1ccccc1N,0.847,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1CN1CCCCC1,0.847,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Oc1cccc(Cl)c1,0.869,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NC(=O)c1ccc[nH]1,0.896,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NC(=O)c1ccsc1,0.942,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1OCCCCCCCC(=O)[O-],0.567,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1NCCCCCCN,0.683,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)c1ccccc1S(=O)(=O)N(C)C,0.775,2.4791678666522947e-09
genmol:ripasudil_large,CN(C)S(=O)(=O)c1ccccc1Nc1nc2ccccc2s1,0.796,2.4791678666522947e-09
genmol:ripasudil_large,CNCCCCCOc1ccccc1S(=O)(=O)N(C)C,0.705,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)c3ccccc3C)nc(N)n2)cc1,0.773,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)N3CCCC3)nc(N)n2)cc1,0.892,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)CC3CN3C)nc(N)n2)cc1,0.839,2.4791678666522947e-09
genmol:fasudil_xl,COc1ccc2c(c1)sc1cc(O)cc(CN3Cc4cc(Br)ccc43)c12,0.433,2.4791678666522947e-09
genmol:fasudil_xl,COc1ccc2c(c1)sc1cc(F)c(NC(=O)N3CCc4cc(F)ccc43)cc12,0.445,2.4791678666522947e-09
genmol:fasudil_xl,COc1ccc2c(c1)sc1cc(Cl)c(Cl)c(-n3ccc4cc(C)ccc43)c12,0.291,2.4791678666522947e-09
genmol:fasudil_xl,COc1ccc2c(c1)sc1cc(C)c(C(=O)n3ccc4cc(C)ccc43)cc12,0.356,2.4791678666522947e-09
genmol:fasudil_xl,COc1ccc2c(c1)sc1cc(N)c(C(=O)N3CCc4cc(N)ccc43)cc12,0.497,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(N=C(O)C3=CC=C3C#N)ccc12,0.539,2.4791678666522947e-09
genmol:fasudil_lhop,CCS(=O)(=O)c1ccc2c(c1)sc1cc(OC)ccc12,0.738,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(N=C(O)c3ccccc3)ccc12,0.386,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(C(O)=NCC(=N)O)ccc12,0.504,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(N=C(O)C3CC3)ccc12,0.542,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(C)ccc12,0.601,2.4791678666522947e-09
genmol:fasudil_lhop,COc1ccc2c(c1)sc1cc(S(=O)(=O)[O-])ccc12,0.681,2.4791678666522947e-09
genmol:limki3_med,COc1cc(-c2ncc3ncncccc(N)c-3cn2)ccc1O,0.746,2.4791678666522947e-09
genmol:limki3_med,COc1cc(-c2ncc3c(n2)C(O)=NCC3)ccc1O,0.868,2.4791678666522947e-09
genmol:limki3_med,COc1cc(-c2ncc[nH]c3c(cn2)S3(=O)=O)ccc1O,0.694,2.4791678666522947e-09
genmol:bms5_rhop,CN(C)C(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.885,2.4791678666522947e-09
genmol:bms5_rhop,CCCNC(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.775,2.4791678666522947e-09
genmol:bms5_rhop,C=CCS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.63,2.4791678666522947e-09
genmol:bms5_rhop,CC(C)CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.575,2.4791678666522947e-09
genmol:bms5_rhop,CNCCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.471,2.4791678666522947e-09
genmol:bms5_rhop,CC(C)N=C([O-])c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.644,2.4791678666522947e-09
genmol:bms5_rhop,CCOCC(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.785,2.4791678666522947e-09
genmol:bms5_rhop,C=CCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.446,2.4791678666522947e-09
genmol:bms5_rhop,COC(=O)C(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.485,2.4791678666522947e-09
genmol:bms5_rhop,C[N-]CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.571,2.4791678666522947e-09
genmol:bms5_rhop,COC(=O)Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.793,2.4791678666522947e-09
genmol:bms5_rhop,CCOC(=N)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.588,2.4791678666522947e-09
genmol:bms5_rhop,C[S+]([O-])C=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.836,2.4791678666522947e-09
genmol:bms5_rhop,C#CCCNC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.283,2.4791678666522947e-09
genmol:bms5_rhop,C=CCN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.443,2.4791678666522947e-09
genmol:bms5_rhop,Cc1ccccc1N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.484,2.4791678666522947e-09
genmol:bms5_rhop,CSC(C)C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.565,2.4791678666522947e-09
genmol:bms5_rhop,COC(=N)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.584,2.4791678666522947e-09
genmol:limki3_med,COc1cc(-c2ncccc(C)c(C)nc(C)n2)ccc1O,0.921,2.4791678666522947e-09
genmol:bms5_right_large,Cc1cncc(NC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c1,0.402,2.4791678666522947e-09
genmol:bms5_right_large,Cn1nccc1NC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.405,2.4791678666522947e-09
genmol:bms5_left_med,Cc1ccc(-c2cc(NC(=O)N=C(O)c3ccccc3)nc(N)n2)cc1,0.495,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccccc1C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.484,2.4791678666522947e-09
genmol:bms5_right_large,Cc1cccc(C(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c1,0.484,2.4791678666522947e-09
genmol:bms5_right_large,C#CCNS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.528,2.4791678666522947e-09
genmol:bms5_right_large,CCOCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.549,2.4791678666522947e-09
genmol:bms5_right_large,CCC1CN1S(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.608,2.4791678666522947e-09
genmol:bms5_right_large,Cc1cccc(C(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c1,0.705,2.4791678666522947e-09
genmol:bms5_left_med,Cc1ccc(-c2cc(NC(=O)c3cccc(C)c3N)nc(N)n2)cc1,0.638,2.4791678666522947e-09
genmol:bms5_right_large,Cn1nccc1CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.463,2.4791678666522947e-09
genmol:bms5_left_med,Cc1ccc(-c2cc(NC(=O)c3ccc(O)cc3C#N)nc(N)n2)cc1,0.67,2.4791678666522947e-09
genmol:bms5_left_med,Cc1ccc(-c2cc(NC(=O)CCCS(N)(=O)=O)nc(N)n2)cc1,0.711,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)c3ccccc3O)nc(N)n2)cc1,0.688,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)CCC=O)nc(N)n2)cc1,0.818,2.4791678666522947e-09
genmol:bms5_left_small,Cc1ccc(-c2cc(NC(=O)C3=NN3C)nc(N)n2)cc1,0.882,2.4791678666522947e-09
genmol:bms5_right_small,CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.583,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccc(CN=C(O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.465,2.4791678666522947e-09
genmol:bms5_right_large,COc1ccccc1N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.461,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccc(CCC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.433,2.4791678666522947e-09
genmol:bms5_right_large,COc1ccccc1N=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.676,2.4791678666522947e-09
genmol:bms5_right_large,COC(=O)C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.435,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccc(CN=C(O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1C,0.453,2.4791678666522947e-09
genmol:bms5_right_large,COc1ccsc1C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.456,2.4791678666522947e-09
genmol:bms5_right_large,CN1CCN(CC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.522,2.4791678666522947e-09
genmol:bms5_right_large,CC1CCCN(CC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.524,2.4791678666522947e-09
genmol:bms5_right_large,CCN(C)CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.541,2.4791678666522947e-09
genmol:bms5_right_large,CCOC=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.828,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccc(CCN=C(O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.439,2.4791678666522947e-09
genmol:bms5_right_large,CC(N)NCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.296,2.4791678666522947e-09
genmol:bms5_right_large,Cn1ccccc1=NN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.359,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccc(NC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1C,0.395,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccccc1NC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.406,2.4791678666522947e-09
genmol:bms5_right_large,COC(=O)CN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.415,2.4791678666522947e-09
genmol:bms5_right_large,Cc1ccccc1CCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.433,2.4791678666522947e-09
genmol:bms5_right_small,CCCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.579,2.4791678666522947e-09
genmol:bms5_right_small,CCC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.593,2.4791678666522947e-09
genmol:bms5_right_small,COC(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.585,2.4791678666522947e-09
genmol:bms5_right_xl,C[C@@H]1C[C@H](CNS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CCO1,0.6,2.4791678666522947e-09
genmol:bms5_right_xl,C=Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.883,2.4791678666522947e-09
genmol:bms5_right_xl,COC(=O)c1ccc(NC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.277,2.4791678666522947e-09
genmol:bms5_right_xl,CC(C)CNCCCN=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.297,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(CNC(=N)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1C,0.367,2.4791678666522947e-09
genmol:bms5_right_xl,COc1cc(Br)c(C)cc1C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.377,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(OCC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1C,0.39,2.4791678666522947e-09
genmol:bms5_right_xl,CCOC(=O)[C@@H](C)C(O)=Nc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.399,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(CN=C(O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.436,2.4791678666522947e-09
genmol:bms5_right_xl,CCC(NS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1)C(=O)OC,0.444,2.4791678666522947e-09
genmol:bms5_right_xl,CC1CCN(S(=O)(=O)CC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.45,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccc(CNS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.53,2.4791678666522947e-09
genmol:bms5_right_xl,C[C@H](NS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1)c1ccccc1,0.531,2.4791678666522947e-09
genmol:bms5_right_xl,C[NH+](C)CC1CCN(S(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.547,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c(C)c1,0.55,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccccc1NS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.564,2.4791678666522947e-09
genmol:bms5_right_xl,CCN(CC)S(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.747,2.4791678666522947e-09
genmol:bms5_right_xl,CC(C)(C)NS(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.703,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccc(S(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.666,2.4791678666522947e-09
genmol:bms5_right_xl,CCOC(=O)C(=O)N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.307,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1CN1CCOCC1,0.819,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1-n1cnc(C#N)c1,0.837,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1Oc1ccccc1,0.863,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1Sc1ccccc1,0.869,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1-c1ccc(Cl)cc1,0.871,2.4791678666522947e-09
genmol:ripasudil_med,CN(C)S(=O)(=O)c1ccccc1NCc1cccs1,0.922,2.4791678666522947e-09
genmol:bms5_right_xl,CCc1ccc(C)c(NC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c1,0.374,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccccc1NS(=O)(=O)Cc1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.568,2.4791678666522947e-09
genmol:bms5_right_xl,CCc1cccc(NC(O)=Nc2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)c1,0.386,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(Br)cc1N=C(O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.393,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(OCN=C(O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.402,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cn1,0.512,2.4791678666522947e-09
genmol:bms5_right_xl,COc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.523,2.4791678666522947e-09
genmol:bms5_right_xl,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)cc1,0.564,2.4791678666522947e-09
genmol:bms5_right_xl,C=C(C)C1CCCCN1S(=O)(=O)c1cc(NC(=O)c2ccc(F)cc2)nc(N)n1,0.568,2.4791678666522947e-09
genmol:bms5_right_xl,CCC1CCN(S(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.734,2.4791678666522947e-09
genmol:ripasudil_med,CCCCNCCc1ccccc1S(=O)(=O)N(C)C,0.741,2.4791678666522947e-09
genmol:bms5_right_xl,CC1CCN(S(=O)(=O)c2cc(NC(=O)c3ccc(F)cc3)nc(N)n2)CC1,0.766,2.4791678666522947e-09
genmol:ripasudil_small,COc1ccccc1S(=O)(=O)N(C)C,0.754,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1N=N,0.774,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1CN,0.792,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1-n1cncn1,0.798,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1CCN,0.813,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1-c1nccs1,0.856,2.4791678666522947e-09
genmol:ripasudil_small,CN(C)S(=O)(=O)c1ccccc1-c1nc[nH]n1,0.873,2.4791678666522947e-09
genmol:bms5_lhop,Cc1ccc(-c2cc(NC(=O)c3cc(N)c4cc3-4)nc(N)n2)cc1,0.504,2.4791678666522947e-09
genmol:bms5_lhop,Cc1ccc(-c2cc(NC(=O)c3cc(C)cnc3C)nc(N)n2)cc1,0.767,2.4791678666522947e-09
genmol:bms5_lhop,Cc1ccc(-c2cc(NC(=O)C3=CC=C(F)C3=O)nc(N)n2)cc1,0.844,2.4791678666522947e-09
genmol:bms5_lhop,Cc1ccc(-c2cc(NC(=O)C=CC(C)(C)C)nc(N)n2)cc1,0.849,2.4791678666522947e-09
