uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor	sma_papers	novelty_bucket	druggability_score	druggability_tier	druggability_note	atlas_score
Q9Y2I1	0.5001772	0.48839897	0.44089705	0.75802207	0.7482205	0.5444234	0.75802207	0.6512227	NISCH	ENSG00000010322	34.9	89.6	34.6	46.6	Nischarin	Essential proteins, FDA approved drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6512227
P28702	0.43383342	0.51160514	0.37758416	0.7902398	0.7183027	0.5103314	0.7902398	0.6502856	RXRB	ENSG00000204231	19.0	35.0	40.8	30.2	Retinoid X receptor beta	Cancer-related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6502856
P11387	0.58405435	0.49744657	0.5544092	0.70117295	0.7086162	0.5861316	0.70117295	0.64365226	TOP1	ENSG00000198900	19.5	25.8	20.2	19.3	DNA topoisomerase I	Cancer-related genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.64365226
P31431	0.56269205	0.52428836	0.43267208	0.69513834	0.78312576	0.57569456	0.69513834	0.63541645	SDC4	ENSG00000124145	23.4	58.5	95.3	62.3	Syndecan 4	Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins, Transporters	False	1	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.63541645
O75438	0.5345001	0.47125295	0.43733448	0.6895674	0.8383491	0.5703592	0.6895674	0.6299633	NDUFB1	ENSG00000183648	382.4	546.6	925.3	1307.9	NADH:ubiquinone oxidoreductase subunit B1	Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6299633
Q99814	0.39218515	0.60842276	0.43451065	0.73723745	0.6437268	0.5197114	0.73723745	0.6284744	EPAS1	ENSG00000116016	25.3	46.1	75.4	114.4	Endothelial PAS domain protein 1	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False	1	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.6284744
Q07343	0.43008298	0.4753812	0.50030947	0.71366006	0.7273989	0.5332931	0.71366006	0.6234766	PDE4B	ENSG00000184588	37.9	36.5	41.7	20.5	Phosphodiesterase 4B	Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False	3	some_prior_work	1.0	clinical_precedent	bucket=1 clinical	0.6234766
O95167	0.57045925	0.44804227	0.4093085	0.6720541	0.8220146	0.56245613	0.6720541	0.6172551	NDUFA3	ENSG00000170906	266.0	350.2	489.9	603.4	NADH:ubiquinone oxidoreductase subunit A3	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6172551
O43676	0.6153054	0.45075697	0.4350411	0.65069765	0.7871028	0.5720516	0.65069765	0.6113746	NDUFB3	ENSG00000119013	126.6	165.9	659.2	491.1	NADH:ubiquinone oxidoreductase subunit B3	Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6113746
P61247	0.5633359	0.37135136	0.44232738	0.68228686	0.7578247	0.5337098	0.68228686	0.6079984	RPS3A	ENSG00000145425	1385.5	1002.4	2081.4	1482.9	Ribosomal protein S3A	Essential proteins, Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	False	0	truly_novel	1.0	clinical_precedent	bucket=1 clinical	0.6079984
