uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor	sma_papers	novelty_bucket	druggability_score	druggability_tier	druggability_note	atlas_score
Q04637	0.47584	0.59189135	0.44943488	0.7856495	0.7812828	0.57461226	0.7856495	0.68013084	EIF4G1	ENSG00000114867	27.5	44.4	262.1	67.3	Eukaryotic translation initiation factor 4 gamma 1	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.68013084
Q13009	0.46253234	0.6344501	0.47699195	0.76775765	0.76254725	0.5841304	0.76775765	0.67594403	TIAM1	ENSG00000156299	21.1	29.0	0.9	5.2	TIAM Rac1 associated GEF 1	Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	False	2	some_prior_work	1.0	druggable	bucket=4	0.67594403
Q92794	0.48088783	0.58227444	0.45937684	0.7702742	0.7710643	0.57340086	0.7702742	0.67183757	KAT6A	ENSG00000083168	7.7	9.5	12.5	8.2	Lysine acetyltransferase 6A	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	druggable	bucket=4	0.67183757
Q92993	0.510658	0.46172848	0.4776556	0.78837734	0.77019906	0.55506027	0.78837734	0.67171884	KAT5	ENSG00000172977	31.1	33.7	39.4	31.3	Lysine acetyltransferase 5	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False	1	some_prior_work	1.0	druggable	bucket=4	0.67171884
O75592	0.4888117	0.56163996	0.47645488	0.7539648	0.81746125	0.58609194	0.7539648	0.6700283	MYCBP2	ENSG00000005810	14.2	35.8	17.0	16.6	MYC binding protein 2	Enzymes, Metabolic proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6700283
Q92665	0.5893283	0.5693437	0.4423334	0.7364475	0.8036767	0.60117054	0.7364475	0.66880906	MRPS31	ENSG00000102738	9.1	10.8	25.8	22.5	Mitochondrial ribosomal protein S31	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66880906
Q4FZB7	0.45035398	0.64471585	0.4436011	0.75825495	0.77809364	0.57919115	0.75825495	0.66872305	KMT5B	ENSG00000110066	15.3	12.6	16.2	15.3	Lysine methyltransferase 5B	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66872305
Q9H9B1	0.47140697	0.5987119	0.44325677	0.763379	0.77657926	0.5724887	0.763379	0.6679338	EHMT1	ENSG00000181090	8.7	10.7	29.4	12.8	Euchromatic histone lysine methyltransferase 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.6679338
O60583	0.47540778	0.5832307	0.4909625	0.75713235	0.7610643	0.5776663	0.75713235	0.6673993	CCNT2	ENSG00000082258	11.2	9.2	9.8	11.0	Cyclin T2	Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=5	0.6673993
P17302	0.5592621	0.47009286	0.45218438	0.76442295	0.79793036	0.5698674	0.76442295	0.66714513	GJA1	ENSG00000152661	59.3	221.0	10.0	158.1	Gap junction protein alpha 1	Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	False	1	some_prior_work	1.0	druggable	bucket=4	0.66714513
Q13155	0.6376136	0.47909898	0.5299055	0.73687583	0.72968495	0.5940758	0.73687583	0.66547585	AIMP2	ENSG00000106305	13.4	12.3	151.1	43.4	Aminoacyl tRNA synthetase complex interacting multifunctional protein 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66547585
P43354	0.48153794	0.5670814	0.49012187	0.76233697	0.7067741	0.56137884	0.76233697	0.6618579	NR4A2	ENSG00000153234	9.7	10.3	11.2	36.1	Nuclear receptor subfamily 4 group A member 2	Cancer-related genes, Disease related genes, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	False	1	some_prior_work	1.0	druggable	bucket=4	0.6618579
Q96HN2	0.5505515	0.40211773	0.47106832	0.7660867	0.801317	0.5562636	0.7660867	0.66117513	AHCYL2	ENSG00000158467	18.2	30.6	35.0	4.3	Adenosylhomocysteinase like 2	Enzymes, Metabolic proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66117513
Q7LBC6	0.4533865	0.6842761	0.39966416	0.7419336	0.7795506	0.57921934	0.7419336	0.66057646	KDM3B	ENSG00000120733	14.6	16.6	40.0	19.4	Lysine demethylase 3B	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66057646
O00566	0.6033323	0.5515351	0.51075673	0.7131433	0.7626749	0.60707474	0.7131433	0.66010904	MPHOSPH10	ENSG00000124383	21.5	16.6	35.8	20.1	M-phase phosphoprotein 10	Essential proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.66010904
Q9HCH5	0.48209143	0.60525155	0.49306935	0.7299254	0.76574457	0.58653927	0.7299254	0.65823233	SYTL2	ENSG00000137501	9.7	32.6	4.7	7.9	Synaptotagmin like 2	Plasma proteins, Predicted intracellular proteins, Transporters	False	0	truly_novel	1.0	druggable	bucket=4	0.65823233
P41229	0.58015245	0.41320285	0.52436906	0.75288737	0.71602	0.55843604	0.75288737	0.6556617	KDM5C	ENSG00000126012	12.6	19.9	44.5	19.9	Lysine demethylase 5C	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	druggable	bucket=4	0.6556617
Q9BY66	0.59103733	0.43039888	0.53347594	0.7433694	0.7160786	0.56774765	0.7433694	0.6555585	KDM5D	ENSG00000012817	9.7	9.4	15.4	13.5	Lysine demethylase 5D	Enzymes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False	0	truly_novel	1.0	druggable	bucket=5	0.6555585
Q8TEH3	0.44226348	0.5428396	0.397979	0.77263427	0.76853114	0.5379033	0.77263427	0.6552688	DENND1A	ENSG00000119522	6.4	15.2	10.5	7.2	DENN domain containing 1A	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6552688
Q96Q15	0.54010785	0.5583111	0.5177827	0.7069206	0.7858331	0.6005087	0.7069206	0.65371466	SMG1	ENSG00000157106	7.8	10.9	49.8	12.4	SMG1 nonsense mediated mRNA decay associated PI3K related kinase	Enzymes, Essential proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.65371466
Q12923	0.45808536	0.5770886	0.52195203	0.73371243	0.737405	0.5736327	0.73371243	0.6536726	PTPN13	ENSG00000163629	7.3	9.0	0.9	5.9	Protein tyrosine phosphatase non-receptor type 13	Cancer-related genes, Enzymes, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6536726
P42166	0.47879028	0.6716286	0.4236752	0.7206925	0.76681525	0.5852273	0.7206925	0.65295994	TMPO	ENSG00000120802	9.4	11.9	11.4	10.6	Thymopoietin	Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.65295994
Q92800	0.5078759	0.5524763	0.47449595	0.73305017	0.7524437	0.571823	0.73305017	0.6524366	EZH1	ENSG00000108799	32.1	33.2	41.4	30.3	Enhancer of zeste 1 polycomb repressive complex 2 subunit	Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=5	0.6524366
Q15811	0.51894724	0.5478706	0.6280694	0.69600344	0.7380439	0.60823274	0.69600344	0.6521181	ITSN1	ENSG00000205726	10.0	19.5	20.6	19.8	Intersectin 1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6521181
Q9NSY1	0.43612003	0.5961785	0.44102585	0.7398962	0.7774346	0.5626898	0.7398962	0.651293	BMP2K	ENSG00000138756	5.6	7.1	2.8	7.5	BMP2 inducible kinase	Enzymes, Predicted intracellular proteins	False	2	some_prior_work	1.0	druggable	bucket=4	0.651293
Q8N4C8	0.41766766	0.54036003	0.46745408	0.7485566	0.7813078	0.5516974	0.7485566	0.650127	MINK1	ENSG00000141503	21.8	42.2	11.8	15.3	Misshapen like kinase 1	Enzymes, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=5	0.650127
Q9Y5B6	0.5558787	0.59925497	0.5313285	0.70214415	0.7031616	0.5974059	0.70214415	0.649775	PAXBP1	ENSG00000159086	6.4	4.8	9.2	4.8	PAX3 and PAX7 binding protein 1	Essential proteins, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.649775
Q15648	0.4285027	0.6610615	0.4527014	0.7469015	0.6604163	0.5506705	0.7469015	0.648786	MED1	ENSG00000125686	6.3	6.6	10.8	8.4	Mediator complex subunit 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	False	3	some_prior_work	1.0	druggable	bucket=4	0.648786
Q8NDI1	0.46903616	0.66231734	0.51509047	0.6974582	0.7499758	0.59910494	0.6974582	0.6482816	EHBP1	ENSG00000115504	12.1	22.7	7.4	10.8	EH domain binding protein 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.6482816
P51531	0.4569435	0.5277577	0.5082115	0.73339117	0.7590554	0.56299204	0.73339117	0.6481916	SMARCA2	ENSG00000080503	20.5	61.6	101.7	42.6	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.6481916
P02818	0.58673704	0.48224732	0.39817995	0.72941023	0.79201937	0.5647959	0.72941023	0.6471031	BGLAP	ENSG00000242252	12.7	8.5	0.5	1.4	Bone gamma-carboxyglutamate protein	FDA approved drug targets, Predicted secreted proteins	False	1	some_prior_work	1.0	druggable	bucket=4	0.6471031
Q2M2I8	0.4426033	0.5527861	0.48466203	0.72880733	0.76337177	0.5608558	0.72880733	0.64483154	AAK1	ENSG00000115977	5.9	20.0	7.8	12.7	AP2 associated kinase 1	Enzymes, Predicted intracellular proteins	False	0	truly_novel	1.0	druggable	bucket=4	0.64483154
Q9UKE5	0.43489558	0.5302412	0.50759757	0.7275753	0.7701844	0.5607297	0.7275753	0.6441525	TNIK	ENSG00000154310	6.4	19.0	21.7	8.8	TRAF2 and NCK interacting kinase	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins	False	2	some_prior_work	1.0	druggable	bucket=4	0.6441525
