uniprot	cos_SMN1_P14639	cos_SMN2_Q16637	cos_ROCK2_O75116	cos_TP53_P04637	cos_PERP_P60468	sig_down	sig_up	signature_score	gene	ensembl	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class	is_anchor
P04150	0.5046452	0.61581445	0.48652393	0.80812764	0.79724956	0.6010583	0.80812764	0.70459294	NR3C1	ENSG00000113580	13.9	17.4	42.1	22.7	Nuclear receptor subfamily 3 group C member 1	Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q14693	0.51129645	0.62189984	0.4602384	0.802439	0.8288013	0.605559	0.802439	0.703999	LPIN1	ENSG00000134324	12.9	19.7	180.0	18.7	Lipin 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
Q06323	0.68255657	0.44244212	0.5409248	0.79675364	0.7783551	0.6110697	0.79675364	0.70391166	PSME1	ENSG00000092010	84.5	61.5	142.3	148.0	Proteasome activator subunit 1	Plasma proteins, Predicted intracellular proteins	False
O43310	0.5208623	0.6055875	0.46669436	0.80282617	0.8240627	0.6043017	0.80282617	0.7035639	CTIF	ENSG00000134030	16.7	42.8	14.8	23.3	Cap binding complex dependent translation initiation factor	Predicted intracellular proteins, Transporters	False
Q8N5G2	0.5701151	0.60567695	0.6796837	0.7410686	0.80159426	0.6642675	0.7410686	0.7026681	MACO1	ENSG00000204178	7.6	9.2	23.1	6.8	Macoilin 1	Predicted membrane proteins, Transporters	False
Q92540	0.5179537	0.6288142	0.47875828	0.8027421	0.7772564	0.60069567	0.8027421	0.7017189	SMG7	ENSG00000116698	13.0	19.2	22.3	18.4	SMG7 nonsense mediated mRNA decay factor	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q92539	0.5304233	0.62688255	0.4623689	0.7925611	0.8181015	0.609444	0.7925611	0.7010026	LPIN2	ENSG00000101577	10.1	19.5	2.7	6.9	Lipin 2	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	False
P49792	0.56174606	0.55977803	0.52223957	0.7802271	0.83509696	0.61971515	0.7802271	0.69997114	RANBP2	ENSG00000153201	8.6	16.5	28.4	14.0	RAN binding protein 2	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	False
P55197	0.46710008	0.64276564	0.45654196	0.8067356	0.80317444	0.59239554	0.8067356	0.69956553	MLLT10	ENSG00000078403	11.4	11.5	16.0	17.8	MLLT10 histone lysine methyltransferase DOT1L cofactor	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	False
Q96PX1	0.48862845	0.601762	0.42885035	0.8150463	0.8067976	0.5815096	0.8150463	0.69827795	RNF157	ENSG00000141576	26.8	73.6	69.2	6.2	Ring finger protein 157	Enzymes, Predicted intracellular proteins	False
Q96SK2	0.5047549	0.5785847	0.48061368	0.7866548	0.8693056	0.60831475	0.7866548	0.69748473	TMEM209	ENSG00000146842	8.7	8.6	4.9	5.8	Transmembrane protein 209	Predicted intracellular proteins, Predicted membrane proteins	False
Q9NXE4	0.5430074	0.54422486	0.44292253	0.81004596	0.80823267	0.5845969	0.81004596	0.6973214	SMPD4	ENSG00000136699	7.8	9.5	15.2	10.9	Sphingomyelin phosphodiesterase 4	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	False
O75381	0.54418683	0.5926938	0.4877865	0.779626	0.8272899	0.61298925	0.779626	0.69630766	PEX14	ENSG00000142655	13.5	24.8	22.3	19.2	Peroxisomal biogenesis factor 14	Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	False
Q96CV9	0.58342326	0.5949644	0.70203656	0.7363138	0.7346158	0.65376	0.7363138	0.6950369	OPTN	ENSG00000123240	74.0	68.1	835.6	99.1	Optineurin	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	False
P10909	0.66671824	0.5537996	0.5091479	0.7579615	0.7968382	0.631626	0.7579615	0.69479376	CLU	ENSG00000120885	3839.4	6578.2	110.0	588.2	Clusterin	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	False
O60291	0.5154388	0.5903853	0.42958057	0.7962264	0.8312316	0.59165907	0.7962264	0.6939427	MGRN1	ENSG00000102858	24.8	49.0	49.6	25.6	Mahogunin ring finger 1	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q86US8	0.49302617	0.64381266	0.4861464	0.7826694	0.7931414	0.6040316	0.7826694	0.69335055	SMG6	ENSG00000070366	9.9	12.9	12.1	13.4	SMG6 nonsense mediated mRNA decay factor	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q6PKG0	0.53606915	0.6248044	0.43521884	0.78742856	0.787646	0.59593457	0.78742856	0.69168156	LARP1	ENSG00000155506	28.5	46.7	66.1	46.9	La ribonucleoprotein 1, translational regulator	Plasma proteins, Predicted intracellular proteins	False
O60239	0.55526096	0.5532324	0.5205301	0.78174454	0.7748991	0.60098064	0.78174454	0.6913626	SH3BP5	ENSG00000131370	35.9	36.9	63.1	20.6	SH3 domain binding protein 5	Plasma proteins, Predicted intracellular proteins	False
O95817	0.5099815	0.6091626	0.41072404	0.7937499	0.8184855	0.58708847	0.7937499	0.6904192	BAG3	ENSG00000151929	50.6	51.7	489.5	141.6	BAG cochaperone 3	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q03933	0.5243281	0.5986296	0.5078293	0.7799816	0.76184726	0.5981586	0.7799816	0.6890701	HSF2	ENSG00000025156	8.5	11.0	47.2	21.8	Heat shock transcription factor 2	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q9NPB0	0.5426027	0.5363388	0.39756095	0.78674686	0.8877819	0.5910711	0.78674686	0.688909	SAYSD1	ENSG00000112167	5.5	4.3	4.4	5.7	SAYSVFN motif domain containing 1	Predicted membrane proteins	False
Q8IVL1	0.4549408	0.64817405	0.46944645	0.776968	0.82978505	0.6005866	0.776968	0.6887773	NAV2	ENSG00000166833	6.0	9.3	2.5	57.3	Neuron navigator 2	Enzymes, Predicted intracellular proteins	False
P42356	0.55526686	0.5657286	0.51543427	0.75985944	0.830361	0.61669767	0.75985944	0.68827856	PI4KA	ENSG00000241973	14.0	103.1	23.0	20.9	Phosphatidylinositol 4-kinase alpha	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	False
Q8WYB5	0.4744199	0.5915404	0.4692762	0.7885704	0.8151994	0.58760893	0.7885704	0.68808967	KAT6B	ENSG00000156650	6.1	6.3	11.1	7.2	Lysine acetyltransferase 6B	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False
O60237	0.5096353	0.60417116	0.55598855	0.7582186	0.8010304	0.61770636	0.7582186	0.6879625	PPP1R12B	ENSG00000077157	12.7	11.6	78.7	334.5	Protein phosphatase 1 regulatory subunit 12B	Plasma proteins, Predicted intracellular proteins	False
Q96AA8	0.574191	0.5304892	0.74265593	0.7220247	0.7673686	0.65367615	0.7220247	0.6878504	JAKMIP2	ENSG00000176049	13.5	18.2	0.0	0.4	Janus kinase and microtubule interacting protein 2	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q13586	0.5939356	0.5265615	0.5129477	0.77295333	0.7768868	0.60258293	0.77295333	0.6877681	STIM1	ENSG00000167323	8.6	30.3	105.3	20.3	Stromal interaction molecule 1	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
Q9UKV0	0.47266862	0.57189846	0.49697798	0.7995539	0.7614387	0.57574594	0.7995539	0.6876499	HDAC9	ENSG00000048052	7.5	12.7	15.6	13.1	Histone deacetylase 9	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	False
Q92786	0.4828009	0.6267087	0.4522301	0.7796895	0.8199435	0.5954208	0.7796895	0.68755513	PROX1	ENSG00000117707	7.2	4.3	3.4	14.7	Prospero homeobox 1	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q96L91	0.4414028	0.6226028	0.43031478	0.8004495	0.80368465	0.5745013	0.8004495	0.6874754	EP400	ENSG00000183495	12.4	19.5	19.2	14.1	E1A binding protein p400	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q9H792	0.4740212	0.6504289	0.45072573	0.77495956	0.82435036	0.59988153	0.77495956	0.68742055	PEAK1	ENSG00000173517	5.1	8.2	6.3	15.0	Pseudopodium enriched atypical kinase 1	Enzymes, Predicted intracellular proteins	False
O43687	0.5279621	0.62789315	0.4635121	0.7570549	0.8497684	0.61728394	0.7570549	0.68716943	AKAP7	ENSG00000118507	7.6	12.8	14.9	6.3	A-kinase anchoring protein 7	Plasma proteins, Predicted intracellular proteins	False
P78347	0.5552709	0.53639984	0.48971322	0.7803112	0.7912936	0.5931694	0.7803112	0.6867403	GTF2I	ENSG00000263001	34.4	62.1	79.2	48.4	General transcription factor IIi	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q9UPZ3	0.5353645	0.5539474	0.49974763	0.78042424	0.7823304	0.59284747	0.78042424	0.68663585	HPS5	ENSG00000110756	10.4	4.1	5.0	5.5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q70CQ2	0.5442016	0.6184374	0.5272102	0.7592249	0.76626813	0.6140293	0.7592249	0.6866271	USP34	ENSG00000115464	38.8	40.2	54.1	35.4	Ubiquitin specific peptidase 34	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q9Y2H2	0.54836386	0.54076576	0.51147467	0.7757151	0.78840274	0.5972518	0.7757151	0.68648344	INPP5F	ENSG00000198825	52.9	93.5	10.1	5.4	Inositol polyphosphate-5-phosphatase F	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
Q14203	0.5843848	0.49965554	0.6425571	0.7357193	0.81921566	0.6364533	0.7357193	0.6860863	DCTN1	ENSG00000204843	90.2	134.7	82.9	77.1	Dynactin subunit 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q96QK8	0.49688512	0.63051105	0.41582796	0.7722293	0.8445356	0.5969399	0.7722293	0.6845846	SMIM14	ENSG00000163683	20.8	16.4	6.2	9.5	Small integral membrane protein 14	Predicted intracellular proteins, Predicted membrane proteins	False
Q9NSC2	0.4486022	0.66796654	0.46471664	0.7815516	0.76544744	0.5866832	0.7815516	0.68411744	SALL1	ENSG00000103449	28.2	16.7	0.0	0.7	Spalt like transcription factor 1	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
P06400	0.61814404	0.44344366	0.53153664	0.78158116	0.75321645	0.5865852	0.78158116	0.6840832	RB1	ENSG00000139687	12.2	13.3	17.8	16.6	RB transcriptional corepressor 1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
P40425	0.4644062	0.6328195	0.47525504	0.7805134	0.7738482	0.5865822	0.7805134	0.6835478	PBX2	ENSG00000204304	17.4	24.2	28.3	30.6	PBX homeobox 2	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q02556	0.4811291	0.50414515	0.42026487	0.8379785	0.7095755	0.5287787	0.8379785	0.6833786	IRF8	ENSG00000140968	6.8	6.2	0.9	3.0	Interferon regulatory factor 8	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
O43432	0.5009363	0.6145192	0.51685137	0.76330036	0.77606034	0.6020918	0.76330036	0.6826961	EIF4G3	ENSG00000075151	14.3	26.7	34.0	17.3	Eukaryotic translation initiation factor 4 gamma 3	Plasma proteins, Predicted intracellular proteins	False
Q92615	0.48915687	0.6486659	0.42658836	0.7762935	0.79044676	0.5887145	0.7762935	0.682504	LARP4B	ENSG00000107929	7.8	13.3	37.7	18.1	La ribonucleoprotein 4B	Predicted intracellular proteins, Predicted membrane proteins	False
Q8TBM8	0.5561731	0.5602479	0.5221387	0.7454889	0.8375304	0.6190225	0.7454889	0.6822557	DNAJB14	ENSG00000164031	9.2	20.1	4.3	7.3	DnaJ heat shock protein family (Hsp40) member B14	Predicted intracellular proteins, Predicted membrane proteins, Transporters	False
O95251	0.5300044	0.4648351	0.47995576	0.7912545	0.81744576	0.5730603	0.7912545	0.6821574	KAT7	ENSG00000136504	12.7	22.0	29.2	24.5	Lysine acetyltransferase 7	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transcription factors	False
Q63HN8	0.5369844	0.61063755	0.45127428	0.77051115	0.77440524	0.5933254	0.77051115	0.68191826	RNF213	ENSG00000173821	6.7	5.4	6.1	6.1	Ring finger protein 213	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	False
Q12772	0.536103	0.5441288	0.43895113	0.7954933	0.7527075	0.5679726	0.7954933	0.68173295	SREBF2	ENSG00000198911	39.0	88.4	32.3	50.3	Sterol regulatory element binding transcription factor 2	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	False
Q96N16	0.5746746	0.5082829	0.73067254	0.7208748	0.7566811	0.64257777	0.7208748	0.6817263	JAKMIP1	ENSG00000152969	11.2	48.8	0.0	0.1	Janus kinase and microtubule interacting protein 1	Predicted intracellular proteins, Predicted membrane proteins	False
Q5VZ66	0.57870865	0.5047743	0.71396863	0.721606	0.7642187	0.6404176	0.721606	0.6810118	JAKMIP3	ENSG00000188385	5.2	3.5	1.4	0.7	Janus kinase and microtubule interacting protein 3	Predicted intracellular proteins, Predicted membrane proteins	False
O60927	0.48117065	0.5980425	0.3811262	0.78865576	0.8321711	0.5731276	0.78865576	0.6808917	PPP1R11	ENSG00000204619	46.0	63.1	50.8	50.1	Protein phosphatase 1 regulatory inhibitor subunit 11	Enzymes, Essential proteins, Predicted intracellular proteins	False
P20290	0.5030491	0.5891417	0.4283408	0.75973743	0.8871753	0.6019267	0.75973743	0.680832	BTF3	ENSG00000145741	358.9	235.7	850.4	453.4	Basic transcription factor 3	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q96KQ7	0.4707384	0.5754305	0.42706567	0.7910235	0.8082287	0.57036585	0.7910235	0.6806947	EHMT2	ENSG00000204371	12.1	26.1	5.2	5.4	Euchromatic histone lysine methyltransferase 2	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	False
A8MZ97	0.508765	0.5795764	0.45072728	0.7709603	0.8210199	0.59002215	0.7709603	0.6804912	C2orf74	ENSG00000237651	63.2	67.7	23.4	41.0	Chromosome 2 open reading frame 74	Predicted intracellular proteins, Predicted membrane proteins	False
Q04637	0.47584	0.59189135	0.44943488	0.7856495	0.7812828	0.57461226	0.7856495	0.68013084	EIF4G1	ENSG00000114867	27.5	44.4	262.1	67.3	Eukaryotic translation initiation factor 4 gamma 1	Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q6P995	0.5199365	0.5922948	0.4449947	0.76613665	0.81312513	0.59258777	0.76613665	0.6793622	FAM171B	ENSG00000144369	9.5	66.4	0.7	1.3	Family with sequence similarity 171 member B	Predicted membrane proteins	False
Q9BTA9	0.45427614	0.6887013	0.47076762	0.7627381	0.76150656	0.59381294	0.7627381	0.6782755	WAC	ENSG00000095787	19.4	31.4	22.7	23.9	WW domain containing adaptor with coiled-coil	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	False
Q5VT06	0.49114093	0.66112906	0.45827	0.7474366	0.8257316	0.60906786	0.7474366	0.6782522	CEP350	ENSG00000135837	7.6	5.5	22.9	6.6	Centrosomal protein 350	Plasma proteins, Predicted intracellular proteins	False
O94842	0.44780576	0.6102175	0.44899887	0.786224	0.7737999	0.5702055	0.786224	0.6782148	TOX4	ENSG00000092203	15.0	16.3	51.0	20.9	TOX high mobility group box family member 4	Essential proteins, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
P28290	0.46432292	0.68983895	0.45916408	0.75947785	0.7626865	0.59400314	0.75947785	0.6767405	ITPRID2	ENSG00000138434	54.4	27.6	29.4	22.9	ITPR interacting domain containing 2	Plasma proteins, Predicted intracellular proteins	False
Q8N9I9	0.5234789	0.43581483	0.38320857	0.8350072	0.72905445	0.5178892	0.8350072	0.6764482	DTX3	ENSG00000178498	58.8	126.5	19.7	65.9	Deltex E3 ubiquitin ligase 3	Enzymes, Predicted intracellular proteins	False
Q9Y2I7	0.46603155	0.58612347	0.46597943	0.7829819	0.7606228	0.56968933	0.7829819	0.6763356	PIKFYVE	ENSG00000115020	6.3	10.5	6.1	6.9	Phosphoinositide kinase, FYVE-type zinc finger containing	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	False
Q9NYV6	0.5950041	0.44808495	0.50869113	0.7734973	0.76475596	0.57913405	0.7734973	0.67631567	RRN3	ENSG00000085721	10.5	15.1	39.6	15.5	RRN3 homolog, RNA polymerase I transcription factor	Essential proteins, Plasma proteins, Predicted intracellular proteins	False
Q13009	0.46253234	0.6344501	0.47699195	0.76775765	0.76254725	0.5841304	0.76775765	0.67594403	TIAM1	ENSG00000156299	21.1	29.0	0.9	5.2	TIAM Rac1 associated GEF 1	Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	False
P25054	0.4831593	0.57793134	0.5817254	0.7440733	0.78608954	0.6072264	0.7440733	0.6756498	APC	ENSG00000134982	7.7	34.5	7.9	6.7	APC regulator of WNT signaling pathway	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q9H819	0.55278134	0.5637125	0.5081012	0.7358358	0.8356557	0.6150627	0.7358358	0.67544925	DNAJC18	ENSG00000170464	13.9	15.3	7.2	6.5	DnaJ heat shock protein family (Hsp40) member C18	Predicted intracellular proteins, Predicted membrane proteins	False
Q92922	0.5467168	0.6371108	0.5256938	0.7388458	0.737671	0.6117981	0.7388458	0.67532194	SMARCC1	ENSG00000173473	14.8	7.5	18.1	8.8	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	Plasma proteins, Predicted intracellular proteins, Transcription factors	False
P42858	0.50210714	0.55544716	0.50522965	0.7611055	0.7926724	0.5888641	0.7611055	0.6749848	HTT	ENSG00000197386	6.2	16.7	14.3	6.6	Huntingtin	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	False
P53814	0.47532138	0.55885345	0.41171637	0.7820357	0.8256967	0.56789696	0.7820357	0.67496634	SMTN	ENSG00000183963	7.9	7.8	89.7	147.4	Smoothelin	Plasma proteins, Predicted intracellular proteins	False
P35611	0.5429164	0.6166203	0.47468093	0.7486539	0.7696112	0.6009572	0.7486539	0.6748055	ADD1	ENSG00000087274	79.0	119.7	154.0	92.7	Adducin 1	Plasma proteins, Predicted intracellular proteins	False
Q5SRE5	0.60725117	0.4154798	0.5311936	0.7650482	0.78422797	0.5845381	0.7650482	0.6747931	NUP188	ENSG00000095319	9.0	8.4	14.8	12.8	Nucleoporin 188	Disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters	False
Q9C0C9	0.5432932	0.6032011	0.45067668	0.76005673	0.75870824	0.5889698	0.76005673	0.6745133	UBE2O	ENSG00000175931	9.1	26.8	27.1	19.3	Ubiquitin conjugating enzyme E2 O	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins	False
Q9UQL6	0.445798	0.5713824	0.47014785	0.7873874	0.75470555	0.5605085	0.7873874	0.67394793	HDAC5	ENSG00000108840	28.2	60.3	73.1	46.7	Histone deacetylase 5	Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	False
P43243	0.53140813	0.67386234	0.50272596	0.7380779	0.73108685	0.60977083	0.7380779	0.6739243	MATR3	ENSG00000015479	136.2	202.9	117.3	104.6	Matrin 3	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
O75170	0.56366587	0.5397258	0.41582203	0.7764958	0.76051426	0.569932	0.7764958	0.6732139	PPP6R2	ENSG00000100239	22.1	35.0	64.6	35.4	Protein phosphatase 6 regulatory subunit 2	Plasma proteins, Predicted intracellular proteins	False
Q5VUB5	0.4600004	0.5862317	0.38901955	0.7865759	0.8008666	0.5590296	0.7865759	0.67280275	FAM171A1	ENSG00000148468	97.5	45.7	7.1	9.6	Family with sequence similarity 171 member A1	Predicted intracellular proteins, Predicted membrane proteins	False
O14668	0.50923127	0.5933734	0.4558013	0.75563335	0.8000113	0.58960426	0.75563335	0.6726188	PRRG1	ENSG00000130962	40.4	12.0	14.9	6.0	Proline rich and Gla domain 1	Predicted intracellular proteins, Predicted membrane proteins	False
Q9UDT6	0.53153014	0.50720954	0.65774655	0.72997665	0.7639704	0.61511415	0.72997665	0.67254543	CLIP2	ENSG00000106665	78.2	59.1	2.3	6.6	CAP-Gly domain containing linker protein 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q8WWM7	0.43667156	0.6347213	0.4289798	0.78195024	0.7520576	0.56310755	0.78195024	0.67252886	ATXN2L	ENSG00000168488	57.7	77.5	61.7	67.4	Ataxin 2 like	Plasma proteins, Predicted intracellular proteins	False
O15063	0.44699597	0.62797403	0.43856534	0.76542693	0.79998934	0.5783812	0.76542693	0.6719041	GARRE1	ENSG00000166398	9.6	5.1	14.6	11.8	Granule associated Rac and RHOG effector 1	Plasma proteins, Predicted intracellular proteins	False
Q92794	0.48088783	0.58227444	0.45937684	0.7702742	0.7710643	0.57340086	0.7702742	0.67183757	KAT6A	ENSG00000083168	7.7	9.5	12.5	8.2	Lysine acetyltransferase 6A	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False
Q92993	0.510658	0.46172848	0.4776556	0.78837734	0.77019906	0.55506027	0.78837734	0.67171884	KAT5	ENSG00000172977	31.1	33.7	39.4	31.3	Lysine acetyltransferase 5	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors	False
Q9NVF7	0.50826824	0.51955473	0.45530674	0.7903838	0.72489834	0.552007	0.7903838	0.6711954	FBXO28	ENSG00000143756	6.5	9.9	11.6	7.6	F-box protein 28	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	False
Q7Z6E9	0.4821316	0.6709006	0.4582913	0.7416102	0.79171073	0.60075855	0.7416102	0.6711844	RBBP6	ENSG00000122257	17.4	17.5	28.9	22.9	RB binding protein 6, ubiquitin ligase	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins	False
Q5VZ89	0.55372095	0.49279332	0.5108635	0.7585237	0.77684736	0.5835563	0.7585237	0.67104	DENND4C	ENSG00000137145	5.0	7.0	8.5	11.3	DENN domain containing 4C	Predicted intracellular proteins, Predicted membrane proteins	False
Q9UN79	0.42372555	0.6825563	0.43101686	0.77326536	0.73789334	0.568798	0.77326536	0.6710317	SOX13	ENSG00000143842	17.0	10.1	20.2	17.0	SRY-box transcription factor 13	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	False
Q86Y13	0.57384145	0.58079886	0.5613593	0.7230943	0.7551323	0.61778295	0.7230943	0.67043865	DZIP3	ENSG00000198919	7.9	21.9	11.5	10.9	DAZ interacting zinc finger protein 3	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	False
O75592	0.4888117	0.56163996	0.47645488	0.7539648	0.81746125	0.58609194	0.7539648	0.6700283	MYCBP2	ENSG00000005810	14.2	35.8	17.0	16.6	MYC binding protein 2	Enzymes, Metabolic proteins, Predicted intracellular proteins	False
Q5SW79	0.47683173	0.63364655	0.46546817	0.74237597	0.8140527	0.5974998	0.74237597	0.66993785	CEP170	ENSG00000143702	22.8	16.3	9.4	7.0	Centrosomal protein 170	Predicted intracellular proteins, Predicted membrane proteins	False
Q8WUY3	0.5111146	0.6276089	0.45351118	0.7503892	0.7610614	0.588324	0.7503892	0.6693566	PRUNE2	ENSG00000106772	34.9	40.8	14.7	7.3	Prune homolog 2 with BCH domain	Predicted intracellular proteins, Predicted membrane proteins	False
