canonical_smiles,MW,logP,TPSA,HBD,HBA,QED,BBB_heuristic,Lipinski_pass,PAINS_count,has_charged_center,has_reactive_group,murcko_scaffold,campaigns_hit,targets_hit,n_campaigns,tier_A_hits,tier_B_hits,tier_C_hits,PAINS_penalty,composite,polypharm_bonus,anti_target_penalty,final_score,cluster_id
Cc1ccc(-c2ccc(OC3CC(C)(C)NC(C)(C)C3)nn2)c(O)c1,341.45500000000004,3.845620000000002,67.27,2,5,0.8875481393461991,1.0,1,0,0,0,c1ccc(-c2ccc(OC3CCNCC3)nn2)cc1,['smn2_splice_genmol_hop'],['SMN2'],1,1.0,0.0,0.0,0.0,0.9662644418038596,0.0,0.0,0.9662644418038596,10
O=C(CN1CCN(C(=O)c2cccc3ccccc23)CC1)NC1CCOCC1,381.4760000000003,1.8928,61.88000000000001,1,4,0.8787080742372881,1.0,1,0,0,0,O=C(CN1CCN(C(=O)c2cccc3ccccc23)CC1)NC1CCOCC1,['dok7_binder'],['DOK7'],1,1.0,0.0,0.0,0.0,0.9636124222711864,0.0,0.0,0.9636124222711864,426
O=C(NC1CSC1)N1CCOc2ccc3ccccc3c2CC1,328.4370000000001,2.9017000000000017,41.57000000000001,1,3,0.8750646044256216,1.0,1,0,0,0,O=C(NC1CSC1)N1CCOc2ccc3ccccc3c2CC1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0,0.0,0.9625193813276864,0.0,0.0,0.9625193813276864,582
Cc1ccccc1NS(=O)(=O)N1CCCC1,240.32799999999995,1.7475200000000002,49.41,1,2,0.8746698853231083,1.0,1,0,0,0,O=S(=O)(Nc1ccccc1)N1CCCC1,['perp_genmol_hop'],['PERP'],1,1.0,0.0,0.0,0.0,0.9624009655969324,0.0,0.0,0.9624009655969324,483
Cc1ccc2cc(NC(=O)NCC3=CN4CCC[C@H]4CC3)ccc2c1,335.4510000000001,4.411820000000003,44.370000000000005,2,2,0.8723518903610781,1.0,1,0,0,0,O=C(NCC1=CN2CCCC2CC1)Nc1ccc2ccccc2c1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0,0.0,0.9617055671083234,0.0,0.0,0.9617055671083234,825
Cc1ccccc1C(=O)N1CCC(NC(=O)NC2CCN(C)CC2)CC1,358.4860000000003,1.99302,64.68,2,3,0.8685276571725113,1.0,1,0,0,0,O=C(NC1CCNCC1)NC1CCN(C(=O)c2ccccc2)CC1,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0,0.0,0.9605582971517532,0.0,0.0,0.9605582971517532,548
CC(=O)NC1=C2C(=Nc3c2cnc2ccccc32)N(C)C1=O,292.29800000000006,1.5976,74.66,1,4,0.8671313790908775,1.0,1,0,0,0,O=C1C=C2C(=Nc3c2cnc2ccccc32)N1,['mdm2_activator'],['MDM2'],1,1.0,0.0,0.0,0.0,0.9601394137272632,0.0,0.0,0.9601394137272632,80
CC(C)(C)c1cc(C(=O)N2CCCC2)nc(Cc2ccccc2)n1,323.43999999999994,3.600900000000003,46.09,0,3,0.8667796778089402,1.0,1,0,0,0,O=C(c1ccnc(Cc2ccccc2)n1)N1CCCC1,['perp_pocket3_alphaC'],['PERP'],1,1.0,0.0,0.0,0.0,0.960033903342682,0.0,0.0,0.960033903342682,500
CC(=O)C1C(c2cccc(CCC(=O)O)c2)N=C2C(=O)CC3CCCC1C23,367.44500000000016,3.410000000000002,83.80000000000001,1,4,0.8642772872494274,1.0,1,0,0,0,O=C1CC2CCCC3CC(c4ccccc4)N=C1C23,['rock2_activator_alphaC'],['ROCK2'],1,1.0,0.0,0.0,0.0,0.959283186174828,0.0,0.0,0.959283186174828,923
CN1CCN(CC(=O)Nc2ccc3c(c2)C=CC=C(c2ccccc2)N3)CC1,374.4880000000001,3.3523000000000014,47.61,2,4,0.8616627099242208,1.0,1,0,0,0,O=C(CN1CCNCC1)Nc1ccc2c(c1)C=CC=C(c1ccccc1)N2,['musk_activator_alphaC'],['MuSK'],1,1.0,0.0,0.0,0.0,0.9584988129772662,0.0,0.0,0.9584988129772662,722
